"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";65.962;0.0297;0.005;0.0166;-0.064;"Full";1
"NBWaVE";19.216;0.0248;0.0042;0.0103;0.3963;"Full";1
"CMF";31.667;0.0263;0.0044;0.0106;0.0538;"Full";1
"NMF";26.424;0.0272;0.0046;0.0115;0.0312;"Full";1
"NNLM";17.215;0.0253;0.0043;0.0086;0.0084;"Full";1
"AIRWLS";20.923;0.0247;0.0042;0.0083;0.3187;"Full";1
"Newton";11.1;0.0247;0.0042;0.0085;0.2956;"Full";1
"C-SGD";9.994;0.0243;0.0041;0.0085;0.3235;"Full";1
"B-SGD";5.821;0.0244;0.0041;0.0089;0.1683;"Full";1
"glmPCA";65.962;0.0296;0.1434;0.0163;-0.064;"Train";1
"NBWaVE";19.216;0.0242;0.1427;0.0101;0.3963;"Train";1
"CMF";31.667;0.0261;0.1429;0.0083;0.0538;"Train";1
"NMF";26.424;0.027;0.1431;0.01;0.0312;"Train";1
"NNLM";17.215;0.0252;0.1428;0.0078;0.0084;"Train";1
"AIRWLS";20.923;0.0244;0.1427;0.007;0.3187;"Train";1
"Newton";11.1;0.0245;0.1427;0.007;0.2956;"Train";1
"C-SGD";9.994;0.0239;0.1426;0.0079;0.3235;"Train";1
"B-SGD";5.821;0.0234;0.1426;0.0084;0.1683;"Train";1
"glmPCA";65.962;0.03;0.4937;0.0175;-0.064;"Test";1
"NBWaVE";19.216;0.0264;0.4933;0.0108;0.3963;"Test";1
"CMF";31.667;0.0269;0.4935;0.0173;0.0538;"Test";1
"NMF";26.424;0.0277;0.4934;0.0157;0.0312;"Test";1
"NNLM";17.215;0.0258;0.4934;0.0108;0.0084;"Test";1
"AIRWLS";20.923;0.0253;0.4933;0.012;0.3187;"Test";1
"Newton";11.1;0.0253;0.4933;0.0128;0.2956;"Test";1
"C-SGD";9.994;0.0256;0.4934;0.0102;0.3235;"Test";1
"B-SGD";5.821;0.0273;0.4934;0.0101;0.1683;"Test";1
"glmPCA";62.963;0.0241;0.0052;0.015;-0.036;"Full";2
"NBWaVE";20.266;0.0204;0.0045;0.0095;0.4169;"Full";2
"CMF";32.93;0.0217;0.0048;0.0106;0.0444;"Full";2
"NMF";26.421;0.0225;0.0049;0.0112;0.0313;"Full";2
"NNLM";17.286;0.0207;0.0045;0.008;0.0698;"Full";2
"AIRWLS";20.798;0.0203;0.0045;0.0079;0.2224;"Full";2
"Newton";11.213;0.0203;0.0044;0.0083;0.2818;"Full";2
"C-SGD";10.083;0.02;0.0044;0.008;0.3072;"Full";2
"B-SGD";5.734;0.0203;0.0044;0.0086;0.0558;"Full";2
"glmPCA";62.963;0.024;0.1436;0.0148;-0.036;"Train";2
"NBWaVE";20.266;0.02;0.1429;0.0093;0.4169;"Train";2
"CMF";32.93;0.0216;0.1431;0.008;0.0444;"Train";2
"NMF";26.421;0.0224;0.1433;0.0096;0.0313;"Train";2
"NNLM";17.286;0.0206;0.1429;0.0074;0.0698;"Train";2
"AIRWLS";20.798;0.0202;0.1429;0.0065;0.2224;"Train";2
"Newton";11.213;0.0201;0.1429;0.0065;0.2818;"Train";2
"C-SGD";10.083;0.0195;0.1428;0.0076;0.3072;"Train";2
"B-SGD";5.734;0.0193;0.1428;0.0083;0.0558;"Train";2
"glmPCA";62.963;0.0242;0.494;0.0158;-0.036;"Test";2
"NBWaVE";20.266;0.0216;0.4935;0.01;0.4169;"Test";2
"CMF";32.93;0.0222;0.4938;0.0181;0.0444;"Test";2
"NMF";26.421;0.0228;0.4937;0.0155;0.0313;"Test";2
"NNLM";17.286;0.021;0.4936;0.0098;0.0698;"Test";2
"AIRWLS";20.798;0.0208;0.4936;0.0118;0.2224;"Test";2
"Newton";11.213;0.0208;0.4935;0.0135;0.2818;"Test";2
"C-SGD";10.083;0.0215;0.4936;0.0091;0.3072;"Test";2
"B-SGD";5.734;0.023;0.4937;0.0097;0.0558;"Test";2
"glmPCA";62.688;0.0269;0.0048;0.0164;-0.0377;"Full";3
"NBWaVE";20.254;0.0221;0.004;0.0101;0.512;"Full";3
"CMF";32.805;0.0241;0.0044;0.0117;0.1673;"Full";3
"NMF";26.431;0.0247;0.0044;0.0118;0.1328;"Full";3
"NNLM";17.207;0.0225;0.0041;0.0089;0.1944;"Full";3
"AIRWLS";20.822;0.0217;0.0039;0.0081;0.4521;"Full";3
"Newton";11.149;0.0217;0.0039;0.0082;0.4525;"Full";3
"C-SGD";10.101;0.0215;0.0039;0.0085;0.4296;"Full";3
"B-SGD";5.736;0.0217;0.0039;0.009;0.2976;"Full";3
"glmPCA";62.688;0.0268;0.1437;0.016;-0.0377;"Train";3
