"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"Newton";107.46;0.0327;0.4943;0.0209;0.499;"Test";3
"C-SGD";58.909;0.0337;0.4944;0.0132;0.5041;"Test";3
"B-SGD";33.679;0.0359;0.4945;0.0128;0.473;"Test";3
"glmPCA";591.633;0.0369;0.0073;0.0207;-0.0184;"Full";4
"NBWaVE";216.942;0.0311;0.0062;0.0141;0.5407;"Full";4
"CMF";477.072;0.0331;0.0066;0.0161;0.0435;"Full";4
"NMF";NA;NA;NA;NA;NA;"Full";4
"NNLM";187.4;0.0317;0.0063;0.0119;0.0698;"Full";4
"AIRWLS";216.647;0.0315;0.0063;0.0125;0.567;"Full";4
"Newton";107.375;0.0315;0.0063;0.0134;0.5524;"Full";4
"C-SGD";59.639;0.031;0.0062;0.0122;0.532;"Full";4
"B-SGD";33.838;0.031;0.0062;0.0125;0.4699;"Full";4
"glmPCA";591.633;0.0368;0.1453;0.0205;-0.0184;"Train";4
"NBWaVE";216.942;0.03;0.1442;0.0138;0.5407;"Train";4
"CMF";477.072;0.0328;0.1446;0.0111;0.0435;"Train";4
"NMF";NA;NA;NA;NA;NA;"Train";4
"NNLM";187.4;0.0314;0.1444;0.0108;0.0698;"Train";4
"AIRWLS";216.647;0.0312;0.1444;0.01;0.567;"Train";4
"Newton";107.375;0.0312;0.1444;0.01;0.5524;"Train";4
"C-SGD";59.639;0.0302;0.1443;0.0114;0.532;"Train";4
"B-SGD";33.838;0.0291;0.1442;0.012;0.4699;"Train";4
"glmPCA";591.633;0.037;0.495;0.0212;-0.0184;"Test";4
"NBWaVE";216.942;0.0342;0.4947;0.015;0.5407;"Test";4
"CMF";477.072;0.0339;0.4948;0.0306;0.0435;"Test";4
"NMF";NA;NA;NA;NA;NA;"Test";4
"NNLM";187.4;0.0323;0.4946;0.0152;0.0698;"Test";4
"AIRWLS";216.647;0.0323;0.4946;0.0195;0.567;"Test";4
"Newton";107.375;0.0324;0.4945;0.0231;0.5524;"Test";4
"C-SGD";59.639;0.0336;0.4947;0.0146;0.532;"Test";4
"B-SGD";33.838;0.0362;0.4948;0.0141;0.4699;"Test";4
"glmPCA";612.839;0.0342;0.0077;0.0215;-0.0064;"Full";5
"NBWaVE";259.679;0.0284;0.0064;0.0129;0.5308;"Full";5
"CMF";471.472;0.0301;0.0068;0.0134;0.3177;"Full";5
"NMF";565.53;0.031;0.007;0.0137;0.124;"Full";5
"NNLM";206.935;0.0289;0.0065;0.0106;0.2493;"Full";5
"AIRWLS";220.808;0.0287;0.0065;0.0109;0.5654;"Full";5
"Newton";101.097;0.0287;0.0065;0.0118;0.5583;"Full";5
"C-SGD";59.383;0.0283;0.0064;0.0109;0.5399;"Full";5
"B-SGD";32.739;0.0283;0.0064;0.0111;0.4959;"Full";5
"glmPCA";612.839;0.0342;0.1458;0.0212;-0.0064;"Train";5
"NBWaVE";259.679;0.0275;0.1445;0.0125;0.5308;"Train";5
"CMF";471.472;0.0299;0.145;0.0095;0.3177;"Train";5
"NMF";565.53;0.0309;0.1453;0.0108;0.124;"Train";5
"NNLM";206.935;0.0287;0.1447;0.0093;0.2493;"Train";5
"AIRWLS";220.808;0.0285;0.1447;0.0086;0.5654;"Train";5
"Newton";101.097;0.0284;0.1447;0.0086;0.5583;"Train";5
"C-SGD";59.383;0.0276;0.1445;0.0101;0.5399;"Train";5
"B-SGD";32.739;0.0268;0.1445;0.0105;0.4959;"Train";5
"glmPCA";612.839;0.0342;0.495;0.0221;-0.0064;"Test";5
"NBWaVE";259.679;0.0311;0.4946;0.0138;0.5308;"Test";5
"CMF";471.472;0.0306;0.4946;0.0245;0.3177;"Test";5
"NMF";565.53;0.0314;0.4945;0.0218;0.124;"Test";5
"NNLM";206.935;0.0293;0.4946;0.0141;0.2493;"Test";5
"AIRWLS";220.808;0.0293;0.4945;0.0173;0.5654;"Test";5
"Newton";101.097;0.0294;0.4945;0.0207;0.5583;"Test";5
"C-SGD";59.383;0.0305;0.4946;0.0134;0.5399;"Test";5
"B-SGD";32.739;0.0327;0.4947;0.0128;0.4959;"Test";5
"glmPCA";586.71;0.0361;0.0083;0.0204;-0.0295;"Full";6
"NBWaVE";232.323;0.0306;0.0071;0.0132;0.5064;"Full";6
"CMF";470.677;0.0322;0.0075;0.0142;0.1726;"Full";6
"NMF";563.079;0.0329;0.0076;0.0137;0.0661;"Full";6
"NNLM";199.597;0.0313;0.0073;0.0108;0.1291;"Full";6
"AIRWLS";223.27;0.031;0.0072;0.0113;0.5432;"Full";6
"Newton";104.134;0.031;0.0072;0.0121;0.5285;"Full";6
"C-SGD";58.644;0.0305;0.0071;0.0112;0.5251;"Full";6
"B-SGD";32.938;0.0304;0.0071;0.0114;0.3833;"Full";6
"glmPCA";586.71;0.0361;0.1467;0.0202;-0.0295;"Train";6
"NBWaVE";232.323;0.0296;0.1454;0.0128;0.5064;"Train";6
"CMF";470.677;0.0319;0.1458;0.0098;0.1726;"Train";6
"NMF";563.079;0.0328;0.1462;0.0113;0.0661;"Train";6
"NNLM";199.597;0.0311;0.1457;0.0097;0.1291;"Train";6
"AIRWLS";223.27;0.0308;0.1456;0.0091;0.5432;"Train";6
"Newton";104.134;0.0308;0.1457;0.009;0.5285;"Train";6
"C-SGD";58.644;0.0297;0.1454;0.0104;0.5251;"Train";6
"B-SGD";32.938;0.0289;0.1454;0.0108;0.3833;"Train";6
"glmPCA";586.71;0.0362;0.4948;0.0209;-0.0295;"Test";6
"NBWaVE";232.323;0.0336;0.4944;0.0141;0.5064;"Test";6
"CMF";470.677;0.0329;0.4945;0.0267;0.1726;"Test";6
"NMF";563.079;0.0335;0.4942;0.0205;0.0661;"Test";6
"NNLM";199.597;0.0318;0.4944;0.014;0.1291;"Test";6
"AIRWLS";223.27;0.0318;0.4943;0.0178;0.5432;"Test";6
"Newton";104.134;0.0318;0.4943;0.0208;0.5285;"Test";6
"C-SGD";58.644;0.0328;0.4944;0.0136;0.5251;"Test";6
"B-SGD";32.938;0.0348;0.4945;0.0131;0.3833;"Test";6
"glmPCA";586.474;0.0368;0.0088;0.0222;-0.0266;"Full";7
"NBWaVE";214.947;0.0309;0.0074;0.0126;0.5309;"Full";7
"CMF";470.34;0.0326;0.0079;0.0145;0.216;"Full";7
"NMF";558.688;0.0336;0.008;0.0138;0.1267;"Full";7
"NNLM";197.113;0.0314;0.0076;0.0109;0.1877;"Full";7
"AIRWLS";223.19;0.0312;0.0075;0.0107;0.4911;"Full";7
"Newton";109.97;0.0311;0.0075;0.0116;0.4953;"Full";7
"C-SGD";58.684;0.0306;0.0074;0.0105;0.5137;"Full";7
"B-SGD";32.458;0.0303;0.0073;0.0107;0.4339;"Full";7
"glmPCA";586.474;0.0367;0.147;0.0219;-0.0266;"Train";7
"NBWaVE";214.947;0.0298;0.1457;0.0122;0.5309;"Train";7
"CMF";470.34;0.0324;0.1462;0.0091;0.216;"Train";7
"NMF";558.688;0.0334;0.1465;0.0105;0.1267;"Train";7
"NNLM";197.113;0.0312;0.1458;0.009;0.1877;"Train";7
"AIRWLS";223.19;0.0309;0.1458;0.0083;0.4911;"Train";7
"Newton";109.97;0.0309;0.1458;0.0083;0.4953;"Train";7
