"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";645.906;0.0404;0.0075;0.0244;-0.0131;"Full";1
"NBWaVE";276.503;0.0331;0.0061;0.015;0.5246;"Full";1
"CMF";775.909;0.0351;0.0065;0.0181;0.066;"Full";1
"NMF";696.003;0.0361;0.0067;0.0156;0.1116;"Full";1
"NNLM";243.077;0.034;0.0063;0.0124;0.2199;"Full";1
"AIRWLS";284.855;0.0338;0.0063;0.0129;0.5734;"Full";1
"Newton";113.946;0.0338;0.0063;0.0137;0.5638;"Full";1
"C-SGD";68.058;0.0333;0.0062;0.0127;0.5482;"Full";1
"B-SGD";39.506;0.0333;0.0062;0.0131;0.5125;"Full";1
"glmPCA";645.906;0.0405;0.1458;0.0243;-0.0131;"Train";1
"NBWaVE";276.503;0.0316;0.1445;0.0146;0.5246;"Train";1
"CMF";775.909;0.0347;0.1451;0.0108;0.066;"Train";1
"NMF";696.003;0.0358;0.1452;0.0125;0.1116;"Train";1
"NNLM";243.077;0.0338;0.1447;0.0108;0.2199;"Train";1
"AIRWLS";284.855;0.0334;0.1447;0.0101;0.5734;"Train";1
"Newton";113.946;0.0334;0.1447;0.01;0.5638;"Train";1
"C-SGD";68.058;0.032;0.1445;0.0117;0.5482;"Train";1
"B-SGD";39.506;0.0305;0.1445;0.0123;0.5125;"Train";1
"glmPCA";645.906;0.0403;0.4946;0.0247;-0.0131;"Test";1
"NBWaVE";276.503;0.0373;0.4942;0.0163;0.5246;"Test";1
"CMF";775.909;0.0361;0.4939;0.0388;0.066;"Test";1
"NMF";696.003;0.0367;0.494;0.0245;0.1116;"Test";1
"NNLM";243.077;0.0346;0.4942;0.0168;0.2199;"Test";1
"AIRWLS";284.855;0.0349;0.4941;0.0209;0.5734;"Test";1
"Newton";113.946;0.0349;0.4941;0.0239;0.5638;"Test";1
"C-SGD";68.058;0.0368;0.4942;0.0156;0.5482;"Test";1
"B-SGD";39.506;0.0411;0.4943;0.0154;0.5125;"Test";1
"glmPCA";667.984;0.0376;0.0084;0.02;-0.0103;"Full";2
"NBWaVE";282.393;0.0303;0.0068;0.0126;0.4867;"Full";2
"CMF";779.694;0.0324;0.0073;0.0139;0.1951;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";236.437;0.0311;0.007;0.0104;0.1584;"Full";2
"AIRWLS";291.549;0.0309;0.007;0.011;0.5564;"Full";2
"Newton";116.511;0.0309;0.007;0.0125;0.5369;"Full";2
"C-SGD";67.442;0.0304;0.0069;0.0107;0.5154;"Full";2
"B-SGD";40.774;0.0305;0.0069;0.0109;0.4579;"Full";2
"glmPCA";667.984;0.0376;0.1465;0.0198;-0.0103;"Train";2
"NBWaVE";282.393;0.0289;0.145;0.0123;0.4867;"Train";2
"CMF";779.694;0.032;0.1456;0.0091;0.1951;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";236.437;0.0308;0.1452;0.0091;0.1584;"Train";2
"AIRWLS";291.549;0.0305;0.1452;0.0083;0.5564;"Train";2
"Newton";116.511;0.0305;0.1453;0.0083;0.5369;"Train";2
"C-SGD";67.442;0.0293;0.145;0.0097;0.5154;"Train";2
"B-SGD";40.774;0.0284;0.145;0.0103;0.4579;"Train";2
"glmPCA";667.984;0.0377;0.4952;0.0206;-0.0103;"Test";2
"NBWaVE";282.393;0.0343;0.4947;0.0136;0.4867;"Test";2
"CMF";779.694;0.0333;0.4946;0.0277;0.1951;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";236.437;0.0319;0.4947;0.0142;0.1584;"Test";2
"AIRWLS";291.549;0.032;0.4946;0.0187;0.5564;"Test";2
"Newton";116.511;0.0322;0.4946;0.0245;0.5369;"Test";2
"C-SGD";67.442;0.0335;0.4947;0.0136;0.5154;"Test";2
"B-SGD";40.774;0.0367;0.4949;0.0128;0.4579;"Test";2
"glmPCA";667.99;0.0353;0.0067;0.0255;-0.0095;"Full";3
"NBWaVE";327.895;0.0286;0.0055;0.0157;0.4605;"Full";3
"CMF";774.8;0.0305;0.0059;Inf;-0.013;"Full";3
"NMF";NA;NA;NA;NA;NA;"Full";3
"NNLM";240.564;0.0294;0.0056;Inf;0.086;"Full";3
"AIRWLS";287.447;0.0293;0.0056;0.0136;0.4778;"Full";3
"Newton";117.108;0.0293;0.0056;0.0148;0.4885;"Full";3
"C-SGD";67.493;0.0289;0.0055;0.0134;0.461;"Full";3
"B-SGD";39.953;0.0292;0.0056;0.0139;0.3196;"Full";3
"glmPCA";667.99;0.0352;0.1449;0.0253;-0.0095;"Train";3
"NBWaVE";327.895;0.0272;0.1437;0.0152;0.4605;"Train";3
"CMF";774.8;0.0301;0.1444;0.0115;-0.013;"Train";3
"NMF";NA;NA;NA;NA;NA;"Train";3
"NNLM";240.564;0.0291;0.1439;0.0116;0.086;"Train";3
"AIRWLS";287.447;0.0289;0.1439;0.0108;0.4778;"Train";3
"Newton";117.108;0.0288;0.1439;0.0108;0.4885;"Train";3
"C-SGD";67.493;0.0278;0.1438;0.0123;0.461;"Train";3
"B-SGD";39.953;0.0266;0.1438;0.0131;0.3196;"Train";3
"glmPCA";667.99;0.0355;0.4946;0.0261;-0.0095;"Test";3
"NBWaVE";327.895;0.0326;0.4942;0.017;0.4605;"Test";3
"CMF";774.8;0.0317;0.4938;Inf;-0.013;"Test";3
"NMF";NA;NA;NA;NA;NA;"Test";3
"NNLM";240.564;0.0303;0.4942;Inf;0.086;"Test";3
"AIRWLS";287.447;0.0304;0.4941;0.0217;0.4778;"Test";3
"Newton";117.108;0.0306;0.4941;0.0264;0.4885;"Test";3
"C-SGD";67.493;0.032;0.4942;0.0166;0.461;"Test";3
"B-SGD";39.953;0.0368;0.4944;0.0162;0.3196;"Test";3
"glmPCA";653.437;0.0361;0.0086;0.0183;-0.0205;"Full";4
"NBWaVE";318.002;0.0299;0.0072;0.0123;0.5356;"Full";4
"CMF";784.936;0.0324;0.0078;0.0147;0.0766;"Full";4
"NMF";NA;NA;NA;NA;NA;"Full";4
"NNLM";239.434;0.0309;0.0075;0.0101;0.1033;"Full";4
"AIRWLS";289.397;0.0307;0.0074;0.0107;0.5814;"Full";4
"Newton";111.256;0.0307;0.0074;0.012;0.5937;"Full";4
"C-SGD";67.455;0.0301;0.0073;0.0104;0.4811;"Full";4
"B-SGD";39.655;0.03;0.0073;0.0106;0.508;"Full";4
"glmPCA";653.437;0.0361;0.1468;0.0181;-0.0205;"Train";4
"NBWaVE";318.002;0.0286;0.1454;0.0119;0.5356;"Train";4
"CMF";784.936;0.0321;0.146;0.0089;0.0766;"Train";4
"NMF";NA;NA;NA;NA;NA;"Train";4
"NNLM";239.434;0.0306;0.1457;0.0086;0.1033;"Train";4
"AIRWLS";289.397;0.0303;0.1457;0.008;0.5814;"Train";4
"Newton";111.256;0.0303;0.1457;0.008;0.5937;"Train";4
"C-SGD";67.455;0.0291;0.1455;0.0094;0.4811;"Train";4
"B-SGD";39.655;0.028;0.1453;0.0099;0.508;"Train";4
"glmPCA";653.437;0.0362;0.4952;0.0189;-0.0205;"Test";4
"NBWaVE";318.002;0.0338;0.4948;0.0134;0.5356;"Test";4
"CMF";784.936;0.0335;0.4948;0.0314;0.0766;"Test";4
"NMF";NA;NA;NA;NA;NA;"Test";4
"NNLM";239.434;0.0316;0.4948;0.0142;0.1033;"Test";4
"AIRWLS";289.397;0.0317;0.4947;0.0185;0.5814;"Test";4
"Newton";111.256;0.0318;0.4946;0.0235;0.5937;"Test";4
"C-SGD";67.455;0.033;0.4948;0.0134;0.4811;"Test";4
"B-SGD";39.655;0.0358;0.4949;0.0126;0.508;"Test";4
"glmPCA";664.905;0.0367;0.0076;0.0246;-0.0382;"Full";5
"NBWaVE";316.983;0.0299;0.0062;0.014;0.4691;"Full";5
"CMF";726.819;0.0317;0.0066;0.0154;0.249;"Full";5
