"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NMF";483.108;0.0502;0.4966;0.0254;0.0333;"Test";3
"NNLM";275.746;0.0481;0.4965;0.0223;0.0939;"Test";3
"AIRWLS";170.468;0.0471;0.4964;0.0204;0.4809;"Test";3
"Newton";172.4;0.0471;0.4964;0.0206;0.4738;"Test";3
"C-SGD";66.985;0.0472;0.4964;0.0205;0.4781;"Test";3
"B-SGD";43.235;0.0467;0.4963;0.0204;0.4373;"Test";3
"glmPCA";1243.076;0.052;0.012;0.0322;-0.0144;"Full";4
"NBWaVE";208.413;0.0467;0.0108;0.0219;0.446;"Full";4
"CMF";346.176;0.047;0.0109;0.0222;0.0167;"Full";4
"NMF";NA;NA;NA;NA;NA;"Full";4
"NNLM";274.456;0.0464;0.0108;0.0214;-0.0218;"Full";4
"AIRWLS";184.878;0.0454;0.0106;0.0198;0.4627;"Full";4
"Newton";146.698;0.0453;0.0106;0.0198;0.4808;"Full";4
"C-SGD";67.034;0.0453;0.0106;0.0206;0.4558;"Full";4
"B-SGD";43.731;0.0448;0.0105;0.0206;0.475;"Full";4
"glmPCA";1243.076;0.0519;0.1497;0.0321;-0.0144;"Train";4
"NBWaVE";208.413;0.0466;0.1487;0.0217;0.446;"Train";4
"CMF";346.176;0.0469;0.1487;0.0216;0.0167;"Train";4
"NMF";NA;NA;NA;NA;NA;"Train";4
"NNLM";274.456;0.0463;0.1486;0.0211;-0.0218;"Train";4
"AIRWLS";184.878;0.0453;0.1484;0.0194;0.4627;"Train";4
"Newton";146.698;0.0453;0.1484;0.0194;0.4808;"Train";4
"C-SGD";67.034;0.0452;0.1484;0.0204;0.4558;"Train";4
"B-SGD";43.731;0.0446;0.1483;0.0204;0.475;"Train";4
"glmPCA";1243.076;0.052;0.4969;0.0327;-0.0144;"Test";4
"NBWaVE";208.413;0.0472;0.4963;0.0226;0.446;"Test";4
"CMF";346.176;0.0472;0.4964;0.0241;0.0167;"Test";4
"NMF";NA;NA;NA;NA;NA;"Test";4
"NNLM";274.456;0.0466;0.4963;0.0223;-0.0218;"Test";4
"AIRWLS";184.878;0.0456;0.4962;0.0209;0.4627;"Test";4
"Newton";146.698;0.0455;0.4962;0.0211;0.4808;"Test";4
"C-SGD";67.034;0.0457;0.4962;0.0212;0.4558;"Test";4
"B-SGD";43.731;0.0454;0.4962;0.0213;0.475;"Test";4
"glmPCA";1235.202;0.0532;0.0123;0.0282;-0.0177;"Full";5
"NBWaVE";220.178;0.0479;0.0111;0.0211;0.4243;"Full";5
"CMF";353.006;0.0488;0.0114;0.022;0.0909;"Full";5
"NMF";481.451;0.0497;0.0115;0.023;-0.0178;"Full";5
"NNLM";276.429;0.0478;0.0111;0.021;0.0637;"Full";5
"AIRWLS";191.284;0.0466;0.0109;0.0193;0.4541;"Full";5
"Newton";149.147;0.0465;0.0108;0.0193;0.4212;"Full";5
"C-SGD";66.868;0.0465;0.0108;0.0198;0.49;"Full";5
"B-SGD";43.412;0.0458;0.0107;0.0199;0.4671;"Full";5
"glmPCA";1235.202;0.0532;0.15;0.0281;-0.0177;"Train";5
"NBWaVE";220.178;0.0478;0.1489;0.0209;0.4243;"Train";5
