"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";616.036;0.0379;0.0078;0.0223;-0.0203;"Full";1
"NBWaVE";235.931;0.0316;0.0065;0.0136;0.5127;"Full";1
"CMF";473.661;0.0332;0.0069;0.015;0.0828;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";182.793;0.0321;0.0067;0.0111;0.0833;"Full";1
"AIRWLS";227.046;0.0319;0.0066;0.0115;0.5622;"Full";1
"Newton";105.982;0.0319;0.0066;0.0125;0.551;"Full";1
"C-SGD";59.415;0.0314;0.0065;0.0115;0.5241;"Full";1
"B-SGD";33.128;0.0313;0.0065;0.0118;0.448;"Full";1
"glmPCA";616.036;0.0378;0.1461;0.0221;-0.0203;"Train";1
"NBWaVE";235.931;0.0304;0.1448;0.0132;0.5127;"Train";1
"CMF";473.661;0.0329;0.1452;0.0101;0.0828;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";182.793;0.0318;0.145;0.0099;0.0833;"Train";1
"AIRWLS";227.046;0.0315;0.145;0.0092;0.5622;"Train";1
"Newton";105.982;0.0315;0.145;0.0092;0.551;"Train";1
"C-SGD";59.415;0.0306;0.1448;0.0107;0.5241;"Train";1
"B-SGD";33.128;0.0296;0.1447;0.0112;0.448;"Train";1
"glmPCA";616.036;0.0381;0.4948;0.0229;-0.0203;"Test";1
"NBWaVE";235.931;0.0348;0.4943;0.0145;0.5127;"Test";1
"CMF";473.661;0.0342;0.4945;0.0289;0.0828;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";182.793;0.0328;0.4944;0.0147;0.0833;"Test";1
"AIRWLS";227.046;0.0328;0.4943;0.0181;0.5622;"Test";1
"Newton";105.982;0.0329;0.4943;0.0217;0.551;"Test";1
"C-SGD";59.415;0.0338;0.4944;0.0139;0.5241;"Test";1
"B-SGD";33.128;0.0361;0.4945;0.0134;0.448;"Test";1
"glmPCA";589.386;0.0366;0.0077;0.0206;-0.0238;"Full";2
"NBWaVE";218.15;0.0306;0.0065;0.0126;0.5609;"Full";2
"CMF";469.804;0.0321;0.0068;0.0127;0.1495;"Full";2
"NMF";560.92;0.0332;0.007;0.0135;0.1089;"Full";2
"NNLM";203.255;0.0311;0.0066;0.0104;0.0946;"Full";2
"AIRWLS";224.699;0.0308;0.0065;0.0106;0.6024;"Full";2
"Newton";103.163;0.0308;0.0065;0.0112;0.5796;"Full";2
"C-SGD";59.588;0.0304;0.0065;0.0108;0.5561;"Full";2
"B-SGD";32.878;0.0304;0.0065;0.011;0.4841;"Full";2
"glmPCA";589.386;0.0365;0.1459;0.0203;-0.0238;"Train";2
"NBWaVE";218.15;0.0295;0.1447;0.0123;0.5609;"Train";2
"CMF";469.804;0.0319;0.1451;0.0092;0.1495;"Train";2
"NMF";560.92;0.033;0.1454;0.0105;0.1089;"Train";2
"NNLM";203.255;0.0309;0.1449;0.0091;0.0946;"Train";2
"AIRWLS";224.699;0.0305;0.1448;0.0085;0.6024;"Train";2
"Newton";103.163;0.0304;0.1449;0.0085;0.5796;"Train";2
"C-SGD";59.588;0.0295;0.1447;0.0099;0.5561;"Train";2
"B-SGD";32.878;0.0287;0.1446;0.0103;0.4841;"Train";2
"glmPCA";589.386;0.0367;0.4948;0.0213;-0.0238;"Test";2
"NBWaVE";218.15;0.0336;0.4944;0.0137;0.5609;"Test";2
"CMF";469.804;0.0328;0.4945;0.0228;0.1495;"Test";2
"NMF";560.92;0.0338;0.4943;0.0221;0.1089;"Test";2
"NNLM";203.255;0.0318;0.4945;0.0141;0.0946;"Test";2
"AIRWLS";224.699;0.0316;0.4944;0.0166;0.6024;"Test";2
"Newton";103.163;0.0317;0.4943;0.0187;0.5796;"Test";2
"C-SGD";59.588;0.0328;0.4945;0.0131;0.5561;"Test";2
"B-SGD";32.878;0.0351;0.4946;0.0129;0.4841;"Test";2
"glmPCA";622.94;0.04;0.0082;0.0216;-0.0143;"Full";3
"NBWaVE";229.758;0.0337;0.0069;0.0134;0.5602;"Full";3
"CMF";478.682;0.0353;0.0073;0.0141;0.0889;"Full";3
"NMF";563.177;0.0363;0.0075;0.0142;0.0587;"Full";3
"NNLM";191.76;0.0342;0.0071;0.0112;0.1402;"Full";3
"AIRWLS";227.133;0.0339;0.007;0.0116;0.5784;"Full";3
"Newton";104.583;0.0339;0.007;0.0123;0.57;"Full";3
"C-SGD";59.74;0.0334;0.0069;0.0114;0.5787;"Full";3
"B-SGD";33.797;0.0332;0.0069;0.0117;0.5049;"Full";3
"glmPCA";622.94;0.04;0.1466;0.0214;-0.0143;"Train";3
"NBWaVE";229.758;0.0326;0.1453;0.0131;0.5602;"Train";3
"CMF";478.682;0.035;0.1457;0.0103;0.0889;"Train";3
"NMF";563.177;0.0361;0.146;0.0117;0.0587;"Train";3
"NNLM";191.76;0.0339;0.1455;0.0101;0.1402;"Train";3
"AIRWLS";227.133;0.0337;0.1455;0.0094;0.5784;"Train";3
"Newton";104.583;0.0336;0.1455;0.0094;0.57;"Train";3
"C-SGD";59.74;0.0326;0.1453;0.0106;0.5787;"Train";3
"B-SGD";33.797;0.0316;0.1452;0.0112;0.5049;"Train";3
"glmPCA";622.94;0.0402;0.4947;0.0223;-0.0143;"Test";3
"NBWaVE";229.758;0.0369;0.4943;0.0144;0.5602;"Test";3
"CMF";478.682;0.036;0.4944;0.0253;0.0889;"Test";3
"NMF";563.177;0.0369;0.4942;0.0213;0.0587;"Test";3
"NNLM";191.76;0.0348;0.4943;0.0142;0.1402;"Test";3
"AIRWLS";227.133;0.0347;0.4942;0.0179;0.5784;"Test";3
"Newton";104.583;0.0347;0.4942;0.0207;0.57;"Test";3
"C-SGD";59.74;0.0356;0.4943;0.0138;0.5787;"Test";3
"B-SGD";33.797;0.0377;0.4944;0.0132;0.5049;"Test";3
"glmPCA";588.516;0.0368;0.0076;0.019;-0.0168;"Full";4
"NBWaVE";252.483;0.0308;0.0064;0.0129;0.4957;"Full";4
"CMF";476.889;0.0325;0.0068;0.0142;0.1486;"Full";4
"NMF";562.319;0.0332;0.0069;0.0134;0.0629;"Full";4
"NNLM";179.618;0.0313;0.0065;0.0107;0.0742;"Full";4
"AIRWLS";226.969;0.031;0.0065;0.0112;0.5252;"Full";4
"Newton";102.854;0.031;0.0065;0.0121;0.5017;"Full";4
"C-SGD";59.89;0.0305;0.0064;0.011;0.505;"Full";4
"B-SGD";32.736;0.0304;0.0064;0.0113;0.3911;"Full";4
"glmPCA";588.516;0.0367;0.146;0.0188;-0.0168;"Train";4
"NBWaVE";252.483;0.0297;0.1448;0.0125;0.4957;"Train";4
"CMF";476.889;0.0322;0.1452;0.0098;0.1486;"Train";4
"NMF";562.319;0.0329;0.1455;0.0111;0.0629;"Train";4
"NNLM";179.618;0.031;0.145;0.0096;0.0742;"Train";4
"AIRWLS";226.969;0.0307;0.1449;0.0089;0.5252;"Train";4
"Newton";102.854;0.0307;0.145;0.0089;0.5017;"Train";4
"C-SGD";59.89;0.0296;0.1448;0.0103;0.505;"Train";4
"B-SGD";32.736;0.0287;0.1447;0.0107;0.3911;"Train";4
"glmPCA";588.516;0.0371;0.4946;0.0196;-0.0168;"Test";4
"NBWaVE";252.483;0.034;0.4942;0.0137;0.4957;"Test";4
"CMF";476.889;0.0335;0.4942;0.0273;0.1486;"Test";4
"NMF";562.319;0.0339;0.494;0.0201;0.0629;"Test";4
"NNLM";179.618;0.0321;0.4941;0.0139;0.0742;"Test";4
"AIRWLS";226.969;0.032;0.4941;0.0177;0.5252;"Test";4
"Newton";102.854;0.0321;0.4941;0.0216;0.5017;"Test";4
"C-SGD";59.89;0.0332;0.4942;0.0132;0.505;"Test";4
"B-SGD";32.736;0.0353;0.4943;0.0128;0.3911;"Test";4
"glmPCA";587.716;0.0355;0.0074;0.0205;-0.0271;"Full";5
"NBWaVE";272.883;0.03;0.0062;0.0143;0.4229;"Full";5
"CMF";474.775;0.032;0.0067;Inf;0.0463;"Full";5
"NMF";NA;NA;NA;NA;NA;"Full";5
"NNLM";194.157;0.0305;0.0064;Inf;0.0631;"Full";5
"AIRWLS";224.495;0.0304;0.0064;0.0127;0.4384;"Full";5
"Newton";107.078;0.0304;0.0064;0.0138;0.4083;"Full";5
"C-SGD";59.393;0.0299;0.0063;0.0124;0.3563;"Full";5
"B-SGD";33.292;0.0296;0.0062;0.0126;0.3369;"Full";5
"glmPCA";587.716;0.0354;0.1459;0.0203;-0.0271;"Train";5
"NBWaVE";272.883;0.0289;0.1447;0.014;0.4229;"Train";5
"CMF";474.775;0.0317;0.1452;0.0112;0.0463;"Train";5
"NMF";NA;NA;NA;NA;NA;"Train";5
"NNLM";194.157;0.0303;0.1449;0.0109;0.0631;"Train";5
"AIRWLS";224.495;0.0301;0.1449;0.0101;0.4384;"Train";5
"Newton";107.078;0.0301;0.145;0.0101;0.4083;"Train";5
"C-SGD";59.393;0.0291;0.1448;0.0115;0.3563;"Train";5
"B-SGD";33.292;0.0279;0.1447;0.0121;0.3369;"Train";5
"glmPCA";587.716;0.0356;0.4943;0.0209;-0.0271;"Test";5
"NBWaVE";272.883;0.033;0.494;0.0151;0.4229;"Test";5
