"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";11.667;0.0216;0.0022;0.0144;0.2279;"Full";1
"NBWaVE";12.269;0.0165;0.0017;0.0094;0.4098;"Full";1
"CMF";9.376;0.0202;0.0021;0.0092;0.0536;"Full";1
"NMF";2.772;0.0217;0.0022;0.0117;0.0287;"Full";1
"NNLM";3.555;0.0186;0.0019;0.0074;0.0757;"Full";1
"AIRWLS";3.555;0.0169;0.0018;0.006;0.4111;"Full";1
"Newton";1.82;0.0169;0.0018;0.0064;0.4166;"Full";1
"C-SGD";3.328;0.0169;0.0018;0.0067;0.3296;"Full";1
"B-SGD";1.913;0.0181;0.0019;0.0069;0.2876;"Full";1
"glmPCA";11.667;0.0216;0.1412;0.0123;0.2279;"Train";1
"NBWaVE";12.269;0.0155;0.1408;0.0089;0.4098;"Train";1
"CMF";9.376;0.02;0.1411;0.0062;0.0536;"Train";1
"NMF";2.772;0.0215;0.1414;0.008;0.0287;"Train";1
"NNLM";3.555;0.0185;0.1409;0.0061;0.0757;"Train";1
"AIRWLS";3.555;0.0166;0.1407;0.0041;0.4111;"Train";1
"Newton";1.82;0.0167;0.1408;0.0041;0.4166;"Train";1
"C-SGD";3.328;0.0163;0.1408;0.0055;0.3296;"Train";1
"B-SGD";1.913;0.016;0.1409;0.0057;0.2876;"Train";1
"glmPCA";11.667;0.0218;0.492;0.02;0.2279;"Test";1
"NBWaVE";12.269;0.0194;0.4916;0.0108;0.4098;"Test";1
"CMF";9.376;0.0206;0.492;0.0175;0.0536;"Test";1
"NMF";2.772;0.0222;0.4918;0.0222;0.0287;"Test";1
"NNLM";3.555;0.0191;0.4921;0.0112;0.0757;"Test";1
"AIRWLS";3.555;0.0175;0.4919;0.0114;0.4111;"Test";1
"Newton";1.82;0.0175;0.4919;0.0127;0.4166;"Test";1
"C-SGD";3.328;0.0187;0.4919;0.0102;0.3296;"Test";1
"B-SGD";1.913;0.0243;0.492;0.0102;0.2876;"Test";1
"glmPCA";11.882;0.0203;0.0028;0.0103;-0.0303;"Full";2
"NBWaVE";10.227;0.0152;0.0021;0.0065;0.3272;"Full";2
"CMF";9.971;0.0186;0.0026;0.0114;-0.059;"Full";2
"NMF";4.79;0.0181;0.0025;0.0076;-0.0335;"Full";2
"NNLM";3.551;0.016;0.0022;0.0053;0.1114;"Full";2
"AIRWLS";3.562;0.0154;0.0021;0.0048;0.2009;"Full";2
"Newton";1.816;0.0154;0.0021;0.0053;0.2059;"Full";2
"C-SGD";3.332;0.0152;0.0021;0.0048;0.2838;"Full";2
"B-SGD";1.917;0.0158;0.0022;0.0051;0.1197;"Full";2
