"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";13.771;0.0175;0.0033;0.0158;0.1601;"Full";1
"NBWaVE";10.911;0.0133;0.0026;0.0078;0.4244;"Full";1
"CMF";8.119;0.0162;0.0031;0.0133;0.1282;"Full";1
"NMF";6.568;0.0163;0.0031;0.0095;0.0744;"Full";1
"NNLM";3.576;0.0147;0.0028;0.0061;0.1916;"Full";1
"AIRWLS";3.577;0.0139;0.0027;0.0053;0.399;"Full";1
"Newton";1.831;0.0139;0.0027;0.0054;0.3815;"Full";1
"C-SGD";3.366;0.0139;0.0027;0.0055;0.3569;"Full";1
"B-SGD";1.933;0.0142;0.0027;0.0061;0.2322;"Full";1
"glmPCA";13.771;0.0173;0.1411;0.0142;0.1601;"Train";1
"NBWaVE";10.911;0.0124;0.1406;0.0073;0.4244;"Train";1
"CMF";8.119;0.0157;0.1411;0.0043;0.1282;"Train";1
"NMF";6.568;0.0159;0.1411;0.0056;0.0744;"Train";1
"NNLM";3.576;0.0144;0.1406;0.0043;0.1916;"Train";1
"AIRWLS";3.577;0.0135;0.1406;0.003;0.399;"Train";1
"Newton";1.831;0.0135;0.1407;0.003;0.3815;"Train";1
"C-SGD";3.366;0.0132;0.1406;0.0043;0.3569;"Train";1
"B-SGD";1.933;0.0127;0.1406;0.0049;0.2322;"Train";1
"glmPCA";13.771;0.018;0.4943;0.0205;0.1601;"Test";1
"NBWaVE";10.911;0.0159;0.4937;0.0092;0.4244;"Test";1
"CMF";8.119;0.0176;0.494;0.0388;0.1282;"Test";1
"NMF";6.568;0.0172;0.4939;0.0208;0.0744;"Test";1
"NNLM";3.576;0.0155;0.4943;0.0113;0.1916;"Test";1
"AIRWLS";3.577;0.0148;0.4939;0.0117;0.399;"Test";1
"Newton";1.831;0.0149;0.4939;0.0122;0.3815;"Test";1
"C-SGD";3.366;0.016;0.4939;0.009;0.3569;"Test";1
"B-SGD";1.933;0.0186;0.4941;0.0098;0.2322;"Test";1
"glmPCA";13.562;0.0177;0.0032;0.0156;-0.0223;"Full";2
"NBWaVE";11.559;0.0132;0.0024;0.0072;0.362;"Full";2
"CMF";10.071;0.0155;0.0028;0.0111;0.0277;"Full";2
"NMF";7.057;0.0156;0.0028;0.0085;0.0186;"Full";2
"NNLM";2.583;0.0141;0.0026;0.0068;0.0552;"Full";2
"AIRWLS";3.568;0.0135;0.0025;0.0051;0.3256;"Full";2
"Newton";1.807;0.0134;0.0025;0.0052;0.3615;"Full";2
"C-SGD";3.347;0.0135;0.0025;0.0054;0.2669;"Full";2
"B-SGD";1.927;0.0136;0.0025;0.0058;0.1881;"Full";2
"glmPCA";13.562;0.0177;0.1415;0.0147;-0.0223;"Train";2
"NBWaVE";11.559;0.0125;0.1409;0.0064;0.362;"Train";2
"CMF";10.071;0.0153;0.1415;0.0046;0.0277;"Train";2
"NMF";7.057;0.0155;0.1414;0.0052;0.0186;"Train";2
"NNLM";2.583;0.0139;0.1407;0.0042;0.0552;"Train";2
"AIRWLS";3.568;0.0133;0.1408;0.0029;0.3256;"Train";2
"Newton";1.807;0.0132;0.1408;0.0029;0.3615;"Train";2
"C-SGD";3.347;0.0128;0.1408;0.0039;0.2669;"Train";2
"B-SGD";1.927;0.0122;0.1407;0.0042;0.1881;"Train";2
"glmPCA";13.562;0.0179;0.4934;0.0181;-0.0223;"Test";2
"NBWaVE";11.559;0.0153;0.493;0.0094;0.362;"Test";2
"CMF";10.071;0.0163;0.4927;0.0294;0.0277;"Test";2
"NMF";7.057;0.0161;0.4929;0.0178;0.0186;"Test";2
"NNLM";2.583;0.0145;0.4935;0.0141;0.0552;"Test";2
"AIRWLS";3.568;0.0141;0.4932;0.0113;0.3256;"Test";2
"Newton";1.807;0.0141;0.4932;0.0117;0.3615;"Test";2
"C-SGD";3.347;0.0156;0.4932;0.0098;0.2669;"Test";2
"B-SGD";1.927;0.0177;0.4933;0.0101;0.1881;"Test";2
"glmPCA";12.117;0.0183;0.0021;0.0133;0.0969;"Full";3
"NBWaVE";14.23;0.0148;0.0017;0.0103;0.2881;"Full";3
"CMF";9.57;0.0169;0.002;0.0096;0.1294;"Full";3
"NMF";4.802;0.0178;0.002;0.0113;0.0124;"Full";3
"NNLM";3.57;0.0159;0.0018;0.008;0.0456;"Full";3
"AIRWLS";3.579;0.0152;0.0018;0.0071;0.3654;"Full";3
"Newton";1.81;0.0152;0.0018;0.0077;0.3872;"Full";3
"C-SGD";3.34;0.0154;0.0018;0.0077;0.3052;"Full";3
