"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";291.104;0.0364;0.0078;0.0206;-0.0338;"Full";1
"NBWaVE";54.832;0.0319;0.0068;0.0131;0.4882;"Full";1
"CMF";99.503;0.0331;0.0071;0.0143;0.2021;"Full";1
"NMF";112.757;0.0341;0.0073;0.0149;0.21;"Full";1
"NNLM";67.426;0.0319;0.0069;0.0123;0.0556;"Full";1
"AIRWLS";83.474;0.0312;0.0067;0.0113;0.3904;"Full";1
"Newton";51.964;0.0312;0.0067;0.0115;0.3664;"Full";1
"C-SGD";25.958;0.0308;0.0066;0.0116;0.4063;"Full";1
"B-SGD";15.041;0.0307;0.0066;0.0116;0.3525;"Full";1
"glmPCA";291.104;0.0364;0.1461;0.0204;-0.0338;"Train";1
"NBWaVE";54.832;0.0317;0.1453;0.0129;0.4882;"Train";1
"CMF";99.503;0.033;0.1455;0.0125;0.2021;"Train";1
"NMF";112.757;0.034;0.1457;0.014;0.21;"Train";1
"NNLM";67.426;0.0318;0.1453;0.0118;0.0556;"Train";1
"AIRWLS";83.474;0.0311;0.1452;0.0104;0.3904;"Train";1
"Newton";51.964;0.0311;0.1452;0.0105;0.3664;"Train";1
"C-SGD";25.958;0.0306;0.1451;0.0113;0.4063;"Train";1
"B-SGD";15.041;0.0304;0.145;0.0113;0.3525;"Train";1
"glmPCA";291.104;0.0364;0.4947;0.0213;-0.0338;"Test";1
"NBWaVE";54.832;0.0326;0.4942;0.0136;0.4882;"Test";1
"CMF";99.503;0.0332;0.4944;0.0192;0.2021;"Test";1
"NMF";112.757;0.0342;0.4944;0.0175;0.21;"Test";1
"NNLM";67.426;0.032;0.4942;0.0139;0.0556;"Test";1
"AIRWLS";83.474;0.0313;0.4942;0.0138;0.3904;"Test";1
"Newton";51.964;0.0313;0.4942;0.0144;0.3664;"Test";1
"C-SGD";25.958;0.0313;0.4942;0.0125;0.4063;"Test";1
"B-SGD";15.041;0.0316;0.4942;0.0125;0.3525;"Test";1
"glmPCA";275.907;0.0384;0.0085;0.0193;-0.0158;"Full";2
