"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";282.718;0.0366;0.008;0.0208;-0.0386;"Full";1
"NBWaVE";54.853;0.0321;0.007;0.0141;0.3875;"Full";1
"CMF";103.731;0.033;0.0073;0.0145;0.0372;"Full";1
"NMF";113.752;0.0335;0.0073;0.0151;0.0494;"Full";1
"NNLM";67.274;0.032;0.007;0.013;0.0518;"Full";1
"AIRWLS";83.668;0.0313;0.0069;0.012;0.4898;"Full";1
"Newton";52.104;0.0313;0.0069;0.012;0.4527;"Full";1
"C-SGD";25.903;0.0311;0.0068;0.0124;0.4948;"Full";1
"B-SGD";15.099;0.0308;0.0068;0.0125;0.4425;"Full";1
"glmPCA";282.718;0.0367;0.1462;0.0207;-0.0386;"Train";1
"NBWaVE";54.853;0.0319;0.1454;0.0139;0.3875;"Train";1
"CMF";103.731;0.033;0.1455;0.0137;0.0372;"Train";1
"NMF";113.752;0.0335;0.1457;0.0145;0.0494;"Train";1
"NNLM";67.274;0.0319;0.1454;0.0126;0.0518;"Train";1
"AIRWLS";83.668;0.0313;0.1452;0.0114;0.4898;"Train";1
"Newton";52.104;0.0313;0.1452;0.0114;0.4527;"Train";1
"C-SGD";25.903;0.0309;0.1452;0.0121;0.4948;"Train";1
"B-SGD";15.099;0.0305;0.1451;0.0123;0.4425;"Train";1
"glmPCA";282.718;0.0366;0.495;0.0212;-0.0386;"Test";1
"NBWaVE";54.853;0.0328;0.4945;0.0145;0.3875;"Test";1
"CMF";103.731;0.0331;0.4946;0.0169;0.0372;"Test";1
"NMF";113.752;0.0336;0.4945;0.0166;0.0494;"Test";1
"NNLM";67.274;0.0321;0.4945;0.0141;0.0518;"Test";1
"AIRWLS";83.668;0.0315;0.4944;0.0138;0.4898;"Test";1
"Newton";52.104;0.0315;0.4944;0.0139;0.4527;"Test";1
"C-SGD";25.903;0.0316;0.4944;0.0131;0.4948;"Test";1
"B-SGD";15.099;0.0317;0.4944;0.0131;0.4425;"Test";1
"glmPCA";277.01;0.0329;0.0092;0.0171;-0.0426;"Full";2
"NBWaVE";56.33;0.0291;0.0082;0.0114;0.4242;"Full";2
"CMF";100.603;0.0298;0.0084;0.0109;0.2097;"Full";2
