"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";476.208;0.0391;0.0078;0.0214;-0.0151;"Full";1
"NBWaVE";338.847;0.0314;0.0063;0.0135;0.4129;"Full";1
"CMF";1076.14;0.0338;0.0068;0.0163;0.1659;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";300.005;0.0328;0.0066;0.0112;0.0552;"Full";1
"AIRWLS";372.488;0.0326;0.0066;0.0113;0.4841;"Full";1
"Newton";121.214;0.0326;0.0066;0.0127;0.4694;"Full";1
"C-SGD";76.863;0.0322;0.0065;0.0113;0.456;"Full";1
"B-SGD";45.363;0.0326;0.0066;0.0117;0.4371;"Full";1
"glmPCA";476.208;0.0391;0.1457;0.0212;-0.0151;"Train";1
"NBWaVE";338.847;0.0296;0.1442;0.0131;0.4129;"Train";1
"CMF";1076.14;0.0333;0.145;0.0092;0.1659;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";300.005;0.0324;0.1445;0.0093;0.0552;"Train";1
"AIRWLS";372.488;0.032;0.1446;0.0086;0.4841;"Train";1
"Newton";121.214;0.032;0.1446;0.0086;0.4694;"Train";1
"C-SGD";76.863;0.0306;0.1444;0.0099;0.456;"Train";1
"B-SGD";45.363;0.0292;0.1444;0.0107;0.4371;"Train";1
"glmPCA";476.208;0.0392;0.4953;0.0221;-0.0151;"Test";1
"NBWaVE";338.847;0.0366;0.4949;0.0148;0.4129;"Test";1
"CMF";1076.14;0.0351;0.4946;0.0365;0.1659;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";300.005;0.0339;0.4951;0.0167;0.0552;"Test";1
"AIRWLS";372.488;0.0341;0.4949;0.0191;0.4841;"Test";1
"Newton";121.214;0.0343;0.4948;0.0245;0.4694;"Test";1
"C-SGD";76.863;0.0368;0.495;0.0153;0.456;"Test";1
"B-SGD";45.363;0.0424;0.4952;0.0144;0.4371;"Test";1
"glmPCA";753.449;0.0357;0.008;0.021;-0.0161;"Full";2
"NBWaVE";290.33;0.0287;0.0065;0.0135;0.4259;"Full";2
"CMF";1069.679;0.0313;0.0071;0.0154;0.0721;"Full";2
"NMF";856.348;0.0321;0.0073;0.0139;0.0666;"Full";2
"NNLM";309.896;0.0303;0.0069;0.011;0.2986;"Full";2
"AIRWLS";367.593;0.03;0.0068;0.0117;0.5329;"Full";2
"Newton";129.511;0.03;0.0068;0.013;0.5073;"Full";2
"C-SGD";76.706;0.0295;0.0067;0.0115;0.5047;"Full";2
"B-SGD";46.441;0.0295;0.0067;0.0118;0.4588;"Full";2
"glmPCA";753.449;0.0356;0.1463;0.0208;-0.0161;"Train";2
"NBWaVE";290.33;0.027;0.1447;0.013;0.4259;"Train";2
"CMF";1069.679;0.0309;0.1456;0.0094;0.0721;"Train";2
"NMF";856.348;0.0319;0.1457;0.0107;0.0666;"Train";2
"NNLM";309.896;0.03;0.1451;0.0094;0.2986;"Train";2
"AIRWLS";367.593;0.0295;0.1451;0.0087;0.5329;"Train";2
"Newton";129.511;0.0295;0.1451;0.0086;0.5073;"Train";2
