"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";763.308;0.0362;0.0096;0.0197;-0.0113;"Full";1
"NBWaVE";405.161;0.0293;0.0078;0.0116;0.44;"Full";1
"CMF";1059.219;0.0315;0.0084;Inf;0.2553;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";300.158;0.0306;0.0082;Inf;0.3215;"Full";1
"AIRWLS";374.187;0.0303;0.0081;0.009;0.5264;"Full";1
"Newton";126.218;0.0302;0.0081;0.0103;0.5182;"Full";1
"C-SGD";77.904;0.0298;0.008;0.0093;0.4958;"Full";1
"B-SGD";46.458;0.0298;0.008;0.0095;0.4533;"Full";1
"glmPCA";763.308;0.0362;0.1477;0.0195;-0.0113;"Train";1
"NBWaVE";405.161;0.0277;0.146;0.0108;0.44;"Train";1
"CMF";1059.219;0.0311;0.1472;0.0072;0.2553;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";300.158;0.0302;0.1462;0.0071;0.3215;"Train";1
"AIRWLS";374.187;0.0297;0.1463;0.0066;0.5264;"Train";1
"Newton";126.218;0.0296;0.1463;0.0066;0.5182;"Train";1
"C-SGD";77.904;0.0283;0.146;0.0081;0.4958;"Train";1
"B-SGD";46.458;0.027;0.1459;0.0086;0.4533;"Train";1
"glmPCA";763.308;0.0362;0.4955;0.0202;-0.0113;"Test";1
"NBWaVE";405.161;0.034;0.4949;0.0137;0.44;"Test";1
"CMF";1059.219;0.0326;0.494;Inf;0.2553;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";300.158;0.0314;0.4952;Inf;0.3215;"Test";1
"AIRWLS";374.187;0.0318;0.495;0.0158;0.5264;"Test";1
"Newton";126.218;0.0319;0.4949;0.0207;0.5182;"Test";1
"C-SGD";77.904;0.0339;0.4952;0.0129;0.4958;"Test";1
"B-SGD";46.458;0.0379;0.4953;0.012;0.4533;"Test";1
"glmPCA";75.095;0.0373;0.008;0.0224;-0.0118;"Full";2
"NBWaVE";393.948;0.03;0.0064;0.0132;0.4824;"Full";2
"CMF";1065.867;0.0325;0.007;0.0162;0.0514;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";291.578;0.0315;0.0068;0.0106;0.117;"Full";2
"AIRWLS";364.614;0.0312;0.0067;0.0109;0.5597;"Full";2
"Newton";127.91;0.0312;0.0067;0.0123;0.5519;"Full";2
"C-SGD";76.686;0.0308;0.0066;0.0111;0.4985;"Full";2
"B-SGD";46.464;0.0309;0.0067;0.0113;0.4458;"Full";2
"glmPCA";75.095;0.0373;0.1462;0.0221;-0.0118;"Train";2
"NBWaVE";393.948;0.0283;0.1446;0.0128;0.4824;"Train";2
"CMF";1065.867;0.032;0.1456;0.0088;0.0514;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";291.578;0.0311;0.145;0.0089;0.117;"Train";2
"AIRWLS";364.614;0.0307;0.145;0.0082;0.5597;"Train";2
