"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";500.995;0.0361;0.0075;0.0195;-0.0317;"Full";1
"NBWaVE";172.698;0.0296;0.0062;0.0134;0.4355;"Full";1
"CMF";599.369;0.0318;0.0066;Inf;0.0305;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";186.466;0.0306;0.0064;Inf;0.054;"Full";1
"AIRWLS";190.415;0.0305;0.0064;0.0114;0.472;"Full";1
"Newton";87.772;0.0304;0.0064;0.0127;0.4587;"Full";1
"C-SGD";40.939;0.0301;0.0063;0.0114;0.4268;"Full";1
"B-SGD";30.923;0.0303;0.0063;0.0117;0.3683;"Full";1
"glmPCA";500.995;0.0361;0.1458;0.0194;-0.0317;"Train";1
"NBWaVE";172.698;0.0282;0.1445;0.013;0.4355;"Train";1
"CMF";599.369;0.0314;0.1451;0.0095;0.0305;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";186.466;0.0303;0.1448;0.0094;0.054;"Train";1
"AIRWLS";190.415;0.03;0.1448;0.0088;0.472;"Train";1
"Newton";87.772;0.03;0.1448;0.0087;0.4587;"Train";1
"C-SGD";40.939;0.0289;0.1446;0.0102;0.4268;"Train";1
"B-SGD";30.923;0.0277;0.1446;0.0109;0.3683;"Train";1
"glmPCA";500.995;0.0362;0.4946;0.0198;-0.0317;"Test";1
"NBWaVE";172.698;0.0337;0.4942;0.0143;0.4355;"Test";1
"CMF";599.369;0.0327;0.494;Inf;0.0305;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";186.466;0.0313;0.4942;Inf;0.054;"Test";1
"AIRWLS";190.415;0.0318;0.4941;0.0188;0.472;"Test";1
"Newton";87.772;0.0316;0.494;0.0239;0.4587;"Test";1
"C-SGD";40.939;0.0335;0.4942;0.0147;0.4268;"Test";1
"B-SGD";30.923;0.0377;0.4943;0.014;0.3683;"Test";1
"glmPCA";446.262;0.0361;0.0083;0.0243;-0.0279;"Full";2
"NBWaVE";199.453;0.0298;0.0069;0.0148;0.4824;"Full";2
"CMF";752.997;0.0316;0.0074;Inf;0.2186;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
