"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";95.942;0.0264;0.0051;0.0155;-0.0258;"Full";1
"NBWaVE";46.149;0.0222;0.0043;0.009;0.5022;"Full";1
"CMF";33.202;0.0239;0.0046;0.0104;0.0559;"Full";1
"NMF";26.505;0.0245;0.0047;0.0107;0.0984;"Full";1
"NNLM";17.186;0.0225;0.0043;0.0078;0.0285;"Full";1
"AIRWLS";20.838;0.0219;0.0042;0.0074;0.3955;"Full";1
"Newton";11.143;0.0219;0.0042;0.0077;0.3534;"Full";1
"C-SGD";10.018;0.0216;0.0042;0.0075;0.4441;"Full";1
"B-SGD";5.71;0.0218;0.0042;0.0078;0.2807;"Full";1
"glmPCA";95.942;0.0265;0.1438;0.0152;-0.0258;"Train";1
"NBWaVE";46.149;0.0219;0.1431;0.0089;0.5022;"Train";1
"CMF";33.202;0.0239;0.1434;0.0081;0.0559;"Train";1
"NMF";26.505;0.0244;0.1435;0.0093;0.0984;"Train";1
"NNLM";17.186;0.0224;0.1431;0.0073;0.0285;"Train";1
"AIRWLS";20.838;0.0218;0.1431;0.0063;0.3955;"Train";1
"Newton";11.143;0.0218;0.1431;0.0063;0.3534;"Train";1
"C-SGD";10.018;0.0213;0.143;0.0071;0.4441;"Train";1
"B-SGD";5.71;0.0211;0.143;0.0074;0.2807;"Train";1
"glmPCA";95.942;0.0264;0.4932;0.0164;-0.0258;"Test";1
"NBWaVE";46.149;0.0231;0.4928;0.0095;0.5022;"Test";1
"CMF";33.202;0.0241;0.4931;0.017;0.0559;"Test";1
"NMF";26.505;0.0246;0.493;0.0145;0.0984;"Test";1
"NNLM";17.186;0.0226;0.4929;0.0093;0.0285;"Test";1
"AIRWLS";20.838;0.0221;0.4928;0.0107;0.3955;"Test";1
"Newton";11.143;0.0222;0.4928;0.0115;0.3534;"Test";1
"C-SGD";10.018;0.0223;0.4929;0.0088;0.4441;"Test";1
"B-SGD";5.71;0.0236;0.4929;0.0088;0.2807;"Test";1
"glmPCA";73.165;0.0301;0.0051;0.0142;-0.021;"Full";2
"NBWaVE";20.326;0.0252;0.0043;0.0089;0.54;"Full";2
"CMF";32.18;0.0272;0.0046;0.0102;0.0192;"Full";2
"NMF";26.466;0.0279;0.0047;0.0104;0.0092;"Full";2
"NNLM";17.31;0.0257;0.0044;0.0076;0.0358;"Full";2
"AIRWLS";20.942;0.025;0.0043;0.0072;0.3274;"Full";2
"Newton";11.139;0.025;0.0043;0.0073;0.3128;"Full";2
"C-SGD";10.066;0.0248;0.0042;0.0077;0.1987;"Full";2
"B-SGD";5.756;0.0252;0.0043;0.0079;0.1214;"Full";2
"glmPCA";73.165;0.0302;0.1444;0.014;-0.021;"Train";2
"NBWaVE";20.326;0.0248;0.1437;0.0088;0.54;"Train";2
"CMF";32.18;0.0271;0.144;0.0073;0.0192;"Train";2
"NMF";26.466;0.0279;0.1442;0.0088;0.0092;"Train";2
"NNLM";17.31;0.0257;0.1438;0.0068;0.0358;"Train";2
"AIRWLS";20.942;0.025;0.1437;0.0059;0.3274;"Train";2
"Newton";11.139;0.025;0.1437;0.0059;0.3128;"Train";2
"C-SGD";10.066;0.0243;0.1436;0.0073;0.1987;"Train";2
"B-SGD";5.756;0.0243;0.1437;0.0075;0.1214;"Train";2
"glmPCA";73.165;0.0299;0.4922;0.015;-0.021;"Test";2
"NBWaVE";20.326;0.0261;0.4918;0.0093;0.54;"Test";2
"CMF";32.18;0.0273;0.4921;0.0181;0.0192;"Test";2
"NMF";26.466;0.028;0.4919;0.0148;0.0092;"Test";2
"NNLM";17.31;0.0257;0.4919;0.0095;0.0358;"Test";2
"AIRWLS";20.942;0.0251;0.4918;0.0109;0.3274;"Test";2
"Newton";11.139;0.0251;0.4918;0.0113;0.3128;"Test";2
"C-SGD";10.066;0.0261;0.4919;0.0089;0.1987;"Test";2
"B-SGD";5.756;0.0276;0.4919;0.0091;0.1214;"Test";2
"glmPCA";8.115;0.0319;0.005;0.0208;-0.0458;"Full";3
"NBWaVE";19.05;0.0259;0.004;0.0111;0.3876;"Full";3
"CMF";33.871;0.0283;0.0044;0.0134;0.1007;"Full";3
"NMF";26.407;0.0286;0.0045;0.0132;0.0929;"Full";3
"NNLM";17.24;0.0264;0.0041;0.0097;0.0568;"Full";3
"AIRWLS";20.886;0.0253;0.004;0.0088;0.3984;"Full";3
"Newton";11.133;0.0253;0.004;0.0088;0.3851;"Full";3
"C-SGD";9.985;0.0251;0.0039;0.0091;0.4064;"Full";3
"B-SGD";5.741;0.0252;0.004;0.0095;0.293;"Full";3
"glmPCA";8.115;0.0319;0.1434;0.0203;-0.0458;"Train";3
"NBWaVE";19.05;0.0254;0.1426;0.0107;0.3876;"Train";3
"CMF";33.871;0.0282;0.1429;0.0103;0.1007;"Train";3
"NMF";26.407;0.0285;0.1431;0.0112;0.0929;"Train";3
"NNLM";17.24;0.0263;0.1427;0.0089;0.0568;"Train";3
"AIRWLS";20.886;0.0252;0.1425;0.0076;0.3984;"Train";3
"Newton";11.133;0.0252;0.1425;0.0075;0.3851;"Train";3
"C-SGD";9.985;0.0248;0.1425;0.0085;0.4064;"Train";3
"B-SGD";5.741;0.0245;0.1425;0.0089;0.293;"Train";3
"glmPCA";8.115;0.0319;0.4937;0.0223;-0.0458;"Test";3
"NBWaVE";19.05;0.0273;0.4932;0.0123;0.3876;"Test";3
"CMF";33.871;0.0287;0.4935;0.0223;0.1007;"Test";3
"NMF";26.407;0.029;0.4933;0.0188;0.0929;"Test";3
"NNLM";17.24;0.0267;0.4933;0.0117;0.0568;"Test";3
"AIRWLS";20.886;0.0257;0.4932;0.0122;0.3984;"Test";3
"Newton";11.133;0.0257;0.4932;0.0126;0.3851;"Test";3
"C-SGD";9.985;0.026;0.4932;0.0107;0.4064;"Test";3
"B-SGD";5.741;0.0273;0.4933;0.0113;0.293;"Test";3
"glmPCA";66.359;0.0254;0.005;0.018;-0.0232;"Full";4
"NBWaVE";24.826;0.0214;0.0042;0.0108;0.3748;"Full";4
"CMF";30.161;0.0225;0.0044;0.0132;0.1152;"Full";4
"NMF";26.478;0.0231;0.0045;0.0119;0.0404;"Full";4
"NNLM";17.326;0.0216;0.0043;0.0092;0.0252;"Full";4
"AIRWLS";20.912;0.0211;0.0042;0.0089;0.3086;"Full";4
"Newton";11.12;0.0211;0.0042;0.0091;0.33;"Full";4
"C-SGD";10.112;0.0209;0.0041;0.0095;0.2406;"Full";4
"B-SGD";5.771;0.0208;0.0041;0.0093;0.2211;"Full";4
"glmPCA";66.359;0.0254;0.1433;0.0177;-0.0232;"Train";4
"NBWaVE";24.826;0.0209;0.1426;0.0105;0.3748;"Train";4
"CMF";30.161;0.0223;0.1428;0.009;0.1152;"Train";4
"NMF";26.478;0.023;0.143;0.0105;0.0404;"Train";4
"NNLM";17.326;0.0214;0.1426;0.0084;0.0252;"Train";4
"AIRWLS";20.912;0.0209;0.1426;0.0073;0.3086;"Train";4
"Newton";11.12;0.0209;0.1426;0.0073;0.33;"Train";4
"C-SGD";10.112;0.0205;0.1425;0.0088;0.2406;"Train";4
"B-SGD";5.771;0.02;0.1425;0.0088;0.2211;"Train";4
"glmPCA";66.359;0.0256;0.4939;0.0189;-0.0232;"Test";4
"NBWaVE";24.826;0.0227;0.4935;0.0117;0.3748;"Test";4
"CMF";30.161;0.0232;0.4937;0.0251;0.1152;"Test";4
"NMF";26.478;0.0235;0.4936;0.0159;0.0404;"Test";4
"NNLM";17.326;0.0219;0.4936;0.0116;0.0252;"Test";4
"AIRWLS";20.912;0.0216;0.4935;0.0135;0.3086;"Test";4
"Newton";11.12;0.0216;0.4935;0.0141;0.33;"Test";4
"C-SGD";10.112;0.022;0.4935;0.0114;0.2406;"Test";4
"B-SGD";5.771;0.0229;0.4936;0.0108;0.2211;"Test";4
"glmPCA";64.951;0.025;0.0042;0.0204;-0.0381;"Full";5
"NBWaVE";24.497;0.0204;0.0034;0.0117;0.4827;"Full";5
"CMF";32.441;0.0223;0.0038;Inf;0.0479;"Full";5
"NMF";NA;NA;NA;NA;NA;"Full";5
"NNLM";17.354;0.0207;0.0035;Inf;0.0512;"Full";5
"AIRWLS";20.992;0.0201;0.0034;0.0096;0.3226;"Full";5
"Newton";11.188;0.0201;0.0034;0.0099;0.2936;"Full";5
"C-SGD";10.021;0.02;0.0034;0.0099;0.2229;"Full";5
"B-SGD";5.764;0.0202;0.0034;0.0108;0.1151;"Full";5
"glmPCA";64.951;0.025;0.1431;0.0202;-0.0381;"Train";5
"NBWaVE";24.497;0.02;0.1425;0.0116;0.4827;"Train";5
"CMF";32.441;0.0222;0.1427;0.0109;0.0479;"Train";5
"NMF";NA;NA;NA;NA;NA;"Train";5
"NNLM";17.354;0.0207;0.1425;0.0094;0.0512;"Train";5
"AIRWLS";20.992;0.02;0.1424;0.0081;0.3226;"Train";5
"Newton";11.188;0.02;0.1424;0.0082;0.2936;"Train";5
"C-SGD";10.021;0.0195;0.1424;0.0094;0.2229;"Train";5
"B-SGD";5.764;0.0191;0.1424;0.0104;0.1151;"Train";5
"glmPCA";64.951;0.0248;0.4926;0.0211;-0.0381;"Test";5
"NBWaVE";24.497;0.0215;0.4923;0.0122;0.4827;"Test";5
"CMF";32.441;0.0226;0.4926;Inf;0.0479;"Test";5
"NMF";NA;NA;NA;NA;NA;"Test";5
"NNLM";17.354;0.0208;0.4924;Inf;0.0512;"Test";5
"AIRWLS";20.992;0.0203;0.4923;0.0137;0.3226;"Test";5
"Newton";11.188;0.0203;0.4923;0.0148;0.2936;"Test";5
"C-SGD";10.021;0.0214;0.4923;0.0111;0.2229;"Test";5
"B-SGD";5.764;0.0232;0.4924;0.0117;0.1151;"Test";5
"glmPCA";65.477;0.026;0.005;0.0178;-0.0517;"Full";6
"NBWaVE";15.915;0.0213;0.0041;0.0101;0.5824;"Full";6
"CMF";31.613;0.0232;0.0045;0.0105;0.1948;"Full";6
"NMF";26.505;0.0241;0.0046;0.0122;0.1296;"Full";6
"NNLM";17.322;0.0222;0.0043;0.0089;0.2168;"Full";6
"AIRWLS";20.874;0.0213;0.0041;0.008;0.3826;"Full";6
"Newton";11.102;0.0213;0.0041;0.008;0.4069;"Full";6
"C-SGD";10.083;0.021;0.0041;0.0085;0.4045;"Full";6
"B-SGD";5.731;0.021;0.0041;0.0085;0.3842;"Full";6
"glmPCA";65.477;0.0259;0.1432;0.0174;-0.0517;"Train";6
"NBWaVE";15.915;0.0208;0.1424;0.0098;0.5824;"Train";6
"CMF";31.613;0.0229;0.1427;0.0086;0.1948;"Train";6
"NMF";26.505;0.0239;0.143;0.0106;0.1296;"Train";6
"NNLM";17.322;0.022;0.1425;0.0082;0.2168;"Train";6
"AIRWLS";20.874;0.021;0.1424;0.0068;0.3826;"Train";6
"Newton";11.102;0.021;0.1424;0.0068;0.4069;"Train";6
"C-SGD";10.083;0.0205;0.1423;0.008;0.4045;"Train";6
"B-SGD";5.731;0.0203;0.1423;0.008;0.3842;"Train";6
"glmPCA";65.477;0.0264;0.4941;0.0189;-0.0517;"Test";6
"NBWaVE";15.915;0.0226;0.4937;0.011;0.5824;"Test";6
"CMF";31.613;0.0238;0.494;0.0159;0.1948;"Test";6
"NMF";26.505;0.0247;0.4938;0.0168;0.1296;"Test";6
"NNLM";17.322;0.0228;0.4939;0.0112;0.2168;"Test";6
"AIRWLS";20.874;0.0219;0.4938;0.0115;0.3826;"Test";6
"Newton";11.102;0.0219;0.4938;0.0117;0.4069;"Test";6
"C-SGD";10.083;0.0222;0.4938;0.0102;0.4045;"Test";6
"B-SGD";5.731;0.0232;0.4938;0.01;0.3842;"Test";6
"glmPCA";12.268;0.0289;0.0046;0.0177;-0.0323;"Full";7
"NBWaVE";16.269;0.0233;0.0037;0.0108;0.4325;"Full";7
"CMF";34.347;0.026;0.0041;0.0129;-0.041;"Full";7
"NMF";28.705;0.0259;0.0041;0.013;0.0522;"Full";7
"NNLM";18.661;0.0237;0.0038;0.0092;0.013;"Full";7
"AIRWLS";20.867;0.0228;0.0036;0.0086;0.4814;"Full";7
"Newton";11.11;0.0228;0.0036;0.0092;0.5121;"Full";7
"C-SGD";10.128;0.0226;0.0036;0.009;0.4341;"Full";7
"B-SGD";5.748;0.0227;0.0036;0.0091;0.3604;"Full";7
"glmPCA";12.268;0.0288;0.1432;0.0175;-0.0323;"Train";7
"NBWaVE";16.269;0.0228;0.1425;0.0105;0.4325;"Train";7
"CMF";34.347;0.0258;0.1428;0.0104;-0.041;"Train";7
"NMF";28.705;0.0258;0.1429;0.0114;0.0522;"Train";7
"NNLM";18.661;0.0235;0.1425;0.0086;0.013;"Train";7
"AIRWLS";20.867;0.0226;0.1424;0.0074;0.4814;"Train";7
"Newton";11.11;0.0226;0.1424;0.0075;0.5121;"Train";7
"C-SGD";10.128;0.0221;0.1424;0.0086;0.4341;"Train";7
"B-SGD";5.748;0.0218;0.1424;0.0088;0.3604;"Train";7
"glmPCA";12.268;0.0289;0.4932;0.0184;-0.0323;"Test";7
"NBWaVE";16.269;0.0248;0.4928;0.0114;0.4325;"Test";7
"CMF";34.347;0.0264;0.4931;0.02;-0.041;"Test";7
"NMF";28.705;0.0263;0.4929;0.0173;0.0522;"Test";7
"NNLM";18.661;0.0241;0.4929;0.0109;0.013;"Test";7
"AIRWLS";20.867;0.0233;0.4928;0.0117;0.4814;"Test";7
"Newton";11.11;0.0233;0.4928;0.0142;0.5121;"Test";7
"C-SGD";10.128;0.0242;0.4928;0.01;0.4341;"Test";7
"B-SGD";5.748;0.0254;0.4929;0.0102;0.3604;"Test";7
"glmPCA";63.634;0.0235;0.004;0.019;0.0147;"Full";8
"NBWaVE";24.91;0.0206;0.0035;0.0117;0.4045;"Full";8
"CMF";32.805;0.0217;0.0037;0.0119;0.104;"Full";8
"NMF";7.308;0.0227;0.0038;0.0148;0.1053;"Full";8
"NNLM";17.409;0.0207;0.0035;0.01;0.0455;"Full";8
"AIRWLS";20.905;0.0203;0.0035;0.0094;0.3289;"Full";8
"Newton";10.994;0.0203;0.0035;0.0094;0.3726;"Full";8
"C-SGD";10.092;0.0201;0.0034;0.0098;0.2931;"Full";8
"B-SGD";5.809;0.02;0.0034;0.0103;0.1924;"Full";8
"glmPCA";63.634;0.0234;0.1424;0.0184;0.0147;"Train";8
"NBWaVE";24.91;0.0201;0.142;0.0114;0.4045;"Train";8
"CMF";32.805;0.0216;0.1422;0.0103;0.104;"Train";8
"NMF";7.308;0.0225;0.1423;0.0136;0.1053;"Train";8
"NNLM";17.409;0.0206;0.142;0.0094;0.0455;"Train";8
"AIRWLS";20.905;0.0201;0.1419;0.008;0.3289;"Train";8
"Newton";10.994;0.0201;0.142;0.0081;0.3726;"Train";8
"C-SGD";10.092;0.0197;0.1419;0.0093;0.2931;"Train";8
"B-SGD";5.809;0.0191;0.1419;0.0099;0.1924;"Train";8
"glmPCA";63.634;0.0237;0.4934;0.0207;0.0147;"Test";8
"NBWaVE";24.91;0.0219;0.4932;0.0125;0.4045;"Test";8
"CMF";32.805;0.0221;0.4933;0.0165;0.104;"Test";8
"NMF";7.308;0.023;0.4933;0.0183;0.1053;"Test";8
"NNLM";17.409;0.0211;0.4932;0.0118;0.0455;"Test";8
"AIRWLS";20.905;0.0207;0.4932;0.0132;0.3289;"Test";8
"Newton";10.994;0.0207;0.4932;0.0134;0.3726;"Test";8
"C-SGD";10.092;0.0212;0.4932;0.0114;0.2931;"Test";8
"B-SGD";5.809;0.0225;0.4933;0.0114;0.1924;"Test";8
"glmPCA";64.568;0.0259;0.0048;0.0148;0.2129;"Full";9
"NBWaVE";15.835;0.023;0.0042;0.0103;0.4183;"Full";9
"CMF";32.229;0.0246;0.0046;0.0107;0.1208;"Full";9
"NMF";26.428;0.0252;0.0047;0.0119;0.0531;"Full";9
"NNLM";17.249;0.0236;0.0044;0.0092;0.0103;"Full";9
"AIRWLS";20.896;0.0227;0.0042;0.0084;0.4463;"Full";9
"Newton";11.14;0.0227;0.0042;0.0084;0.4862;"Full";9
"C-SGD";10.019;0.0224;0.0042;0.0086;0.366;"Full";9
"B-SGD";5.772;0.0223;0.0041;0.0092;0.2794;"Full";9
"glmPCA";64.568;0.0259;0.1432;0.0142;0.2129;"Train";9
"NBWaVE";15.835;0.0225;0.1427;0.0101;0.4183;"Train";9
"CMF";32.229;0.0245;0.1429;0.0091;0.1208;"Train";9
"NMF";26.428;0.0251;0.1431;0.0107;0.0531;"Train";9
"NNLM";17.249;0.0235;0.1428;0.0085;0.0103;"Train";9
"AIRWLS";20.896;0.0225;0.1427;0.0072;0.4463;"Train";9
"Newton";11.14;0.0225;0.1427;0.0071;0.4862;"Train";9
"C-SGD";10.019;0.022;0.1426;0.0081;0.366;"Train";9
"B-SGD";5.772;0.0214;0.1425;0.0088;0.2794;"Train";9
"glmPCA";64.568;0.0262;0.4938;0.0166;0.2129;"Test";9
"NBWaVE";15.835;0.0244;0.4935;0.0111;0.4183;"Test";9
"CMF";32.229;0.025;0.4937;0.0154;0.1208;"Test";9
"NMF";26.428;0.0256;0.4936;0.0152;0.0531;"Test";9
"NNLM";17.249;0.024;0.4936;0.0112;0.0103;"Test";9
"AIRWLS";20.896;0.0232;0.4935;0.012;0.4463;"Test";9
"Newton";11.14;0.0232;0.4935;0.0121;0.4862;"Test";9
"C-SGD";10.019;0.0236;0.4935;0.01;0.366;"Test";9
"B-SGD";5.772;0.0249;0.4936;0.0104;0.2794;"Test";9
"glmPCA";18.607;0.026;0.0055;0.0131;-0.0262;"Full";10
"NBWaVE";22.967;0.0215;0.0046;0.0076;0.4175;"Full";10
"CMF";35.543;0.0233;0.005;0.009;0.0245;"Full";10
"NMF";26.375;0.0237;0.005;0.009;-0.0054;"Full";10
"NNLM";17.269;0.0219;0.0047;0.0066;-0.0894;"Full";10
"AIRWLS";20.873;0.0211;0.0045;0.006;0.3727;"Full";10
"Newton";11.103;0.0212;0.0045;0.0063;0.372;"Full";10
"C-SGD";9.968;0.0208;0.0044;0.0061;0.3941;"Full";10
"B-SGD";5.66;0.0209;0.0045;0.0063;0.3589;"Full";10
"glmPCA";18.607;0.026;0.1441;0.0127;-0.0262;"Train";10
"NBWaVE";22.967;0.0211;0.1432;0.0074;0.4175;"Train";10
"CMF";35.543;0.0233;0.1435;0.0067;0.0245;"Train";10
"NMF";26.375;0.0236;0.1437;0.0073;-0.0054;"Train";10
"NNLM";17.269;0.0218;0.1433;0.0059;-0.0894;"Train";10
"AIRWLS";20.873;0.021;0.1431;0.0049;0.3727;"Train";10
"Newton";11.103;0.021;0.1432;0.0049;0.372;"Train";10
"C-SGD";9.968;0.0205;0.1431;0.0057;0.3941;"Train";10
"B-SGD";5.66;0.0203;0.143;0.006;0.3589;"Train";10
"glmPCA";18.607;0.0261;0.4937;0.0144;-0.0262;"Test";10
"NBWaVE";22.967;0.0227;0.4932;0.0082;0.4175;"Test";10
"CMF";35.543;0.0236;0.4935;0.0155;0.0245;"Test";10
"NMF";26.375;0.024;0.4933;0.014;-0.0054;"Test";10
"NNLM";17.269;0.0222;0.4934;0.0085;-0.0894;"Test";10
"AIRWLS";20.873;0.0215;0.4933;0.0091;0.3727;"Test";10
"Newton";11.103;0.0215;0.4932;0.0102;0.372;"Test";10
"C-SGD";9.968;0.0218;0.4933;0.0074;0.3941;"Test";10
"B-SGD";5.66;0.0227;0.4933;0.0074;0.3589;"Test";10
"glmPCA";68.236;0.0337;0.0038;0.019;-0.0463;"Full";11
"NBWaVE";19.553;0.027;0.003;0.0119;0.4286;"Full";11
"CMF";35.277;0.0294;0.0033;0.0132;0.0159;"Full";11
"NMF";26.39;0.03;0.0034;0.0136;0.0309;"Full";11
"NNLM";17.222;0.0274;0.0031;0.0104;0.0354;"Full";11
"AIRWLS";20.912;0.0265;0.003;0.0097;0.4394;"Full";11
"Newton";11.112;0.0265;0.003;0.0097;0.4767;"Full";11
