"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"NNLM";102.685;0.0334;0.4947;0.0136;0.0568;"Test";3
"AIRWLS";107.774;0.0332;0.4947;0.0171;0.5708;"Test";3
"Newton";59.655;0.0333;0.4946;0.0192;0.5543;"Test";3
"C-SGD";30.009;0.0336;0.4947;0.0133;0.5671;"Test";3
"B-SGD";19.745;0.0345;0.4948;0.013;0.4974;"Test";3
"glmPCA";334.658;0.035;0.009;0.0171;-0.0159;"Full";4
"NBWaVE";93.864;0.0305;0.0079;0.0117;0.5295;"Full";4
"CMF";208.855;0.0319;0.0083;0.0134;0.0146;"Full";4
"NMF";216.812;0.0325;0.0084;0.0124;0.0306;"Full";4
"NNLM";102.635;0.0306;0.008;0.0101;0.065;"Full";4
"AIRWLS";103.571;0.0305;0.0079;0.0103;0.4216;"Full";4
"Newton";59.824;0.0305;0.0079;0.0109;0.3961;"Full";4
"C-SGD";30.103;0.03;0.0078;0.0103;0.3807;"Full";4
"B-SGD";19.74;0.0298;0.0078;0.0104;0.2956;"Full";4
"glmPCA";334.658;0.035;0.1469;0.0169;-0.0159;"Train";4
"NBWaVE";93.864;0.0299;0.1458;0.0115;0.5295;"Train";4
"CMF";208.855;0.0318;0.1462;0.0098;0.0146;"Train";4
"NMF";216.812;0.0324;0.1464;0.011;0.0306;"Train";4
"NNLM";102.635;0.0305;0.1459;0.0095;0.065;"Train";4
"AIRWLS";103.571;0.0303;0.1459;0.0089;0.4216;"Train";4
"Newton";59.824;0.0303;0.1459;0.0089;0.3961;"Train";4
"C-SGD";30.103;0.0296;0.1457;0.0099;0.3807;"Train";4
"B-SGD";19.74;0.0289;0.1456;0.0101;0.2956;"Train";4
"glmPCA";334.658;0.035;0.4958;0.0175;-0.0159;"Test";4
"NBWaVE";93.864;0.0323;0.4954;0.0122;0.5295;"Test";4
"CMF";208.855;0.0323;0.4956;0.0237;0.0146;"Test";4
"NMF";216.812;0.0327;0.4954;0.0165;0.0306;"Test";4
"NNLM";102.635;0.031;0.4954;0.012;0.065;"Test";4
"AIRWLS";103.571;0.0309;0.4953;0.0146;0.4216;"Test";4
"Newton";59.824;0.031;0.4953;0.0167;0.3961;"Test";4
"C-SGD";30.103;0.0314;0.4954;0.0116;0.3807;"Test";4
"B-SGD";19.74;0.0323;0.4955;0.0114;0.2956;"Test";4
"glmPCA";332.234;0.0441;0.0076;0.0205;-0.0153;"Full";5
"NBWaVE";73.222;0.0374;0.0065;0.0139;0.5765;"Full";5
"CMF";210.395;0.0394;0.0069;0.0152;0.045;"Full";5
"NMF";215.674;0.0404;0.007;0.0148;0.0096;"Full";5
"NNLM";102.439;0.0374;0.0065;0.012;0.0537;"Full";5
"AIRWLS";107.188;0.037;0.0065;0.0121;0.6063;"Full";5
"Newton";59.602;0.037;0.0065;0.0128;0.5745;"Full";5
"C-SGD";30.267;0.0367;0.0064;0.0122;0.4796;"Full";5
"B-SGD";19.837;0.0365;0.0064;0.0124;0.4478;"Full";5
"glmPCA";332.234;0.0441;0.1459;0.0203;-0.0153;"Train";5
"NBWaVE";73.222;0.0366;0.1449;0.0138;0.5765;"Train";5
"CMF";210.395;0.0393;0.1452;0.0118;0.045;"Train";5
"NMF";215.674;0.0402;0.1454;0.0132;0.0096;"Train";5
"NNLM";102.439;0.0373;0.1449;0.0113;0.0537;"Train";5
"AIRWLS";107.188;0.0368;0.1448;0.0105;0.6063;"Train";5
"Newton";59.602;0.0368;0.1449;0.0105;0.5745;"Train";5
"C-SGD";30.267;0.0362;0.1448;0.0117;0.4796;"Train";5
"B-SGD";19.837;0.0354;0.1447;0.012;0.4478;"Train";5
"glmPCA";332.234;0.0441;0.4947;0.0209;-0.0153;"Test";5
"NBWaVE";73.222;0.0396;0.4942;0.0145;0.5765;"Test";5
"CMF";210.395;0.0399;0.4944;0.0247;0.045;"Test";5
"NMF";215.674;0.0408;0.4943;0.0196;0.0096;"Test";5
"NNLM";102.439;0.0379;0.4942;0.0141;0.0537;"Test";5
"AIRWLS";107.188;0.0376;0.4942;0.0167;0.6063;"Test";5
"Newton";59.602;0.0376;0.4942;0.0194;0.5745;"Test";5
"C-SGD";30.267;0.0382;0.4942;0.0137;0.4796;"Test";5
"B-SGD";19.837;0.0397;0.4943;0.0135;0.4478;"Test";5
"glmPCA";34.063;0.0388;0.0074;0.0209;-0.0106;"Full";6
"NBWaVE";91.113;0.0323;0.0062;0.0129;0.5872;"Full";6
"CMF";211.883;0.0337;0.0065;0.0131;0.1108;"Full";6
"NMF";221.677;0.035;0.0067;0.0142;0.056;"Full";6
"NNLM";117.207;0.0322;0.0062;0.0109;0.0554;"Full";6
"AIRWLS";163.51;0.0319;0.0062;0.011;0.5942;"Full";6
"Newton";88.56;0.0319;0.0062;0.0115;0.5904;"Full";6
"C-SGD";50.99;0.0315;0.0061;0.0111;0.5771;"Full";6
"B-SGD";27.21;0.0313;0.0061;0.0112;0.5357;"Full";6
"glmPCA";34.063;0.0388;0.1456;0.0207;-0.0106;"Train";6
"NBWaVE";91.113;0.0316;0.1445;0.0127;0.5872;"Train";6
"CMF";211.883;0.0336;0.1449;0.0106;0.1108;"Train";6
"NMF";221.677;0.0349;0.1451;0.012;0.056;"Train";6
"NNLM";117.207;0.0321;0.1445;0.0101;0.0554;"Train";6
"AIRWLS";163.51;0.0317;0.1445;0.0094;0.5942;"Train";6
"Newton";88.56;0.0317;0.1445;0.0094;0.5904;"Train";6
"C-SGD";50.99;0.031;0.1444;0.0106;0.5771;"Train";6
"B-SGD";27.21;0.0304;0.1443;0.0108;0.5357;"Train";6
"glmPCA";34.063;0.0387;0.4948;0.0216;-0.0106;"Test";6
"NBWaVE";91.113;0.0342;0.4943;0.0135;0.5872;"Test";6
"CMF";211.883;0.034;0.4943;0.02;0.1108;"Test";6
