"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";667.678;0.0381;0.0079;0.0201;-0.016;"Full";1
"NBWaVE";324.858;0.0312;0.0065;0.013;0.4458;"Full";1
"CMF";773.657;0.0335;0.007;0.0143;0.0451;"Full";1
"NMF";695.155;0.0345;0.0072;0.0136;0.0731;"Full";1
"NNLM";239.513;0.0321;0.0067;0.0107;0.0828;"Full";1
"AIRWLS";287.789;0.0319;0.0067;0.0112;0.5168;"Full";1
"Newton";116.371;0.0319;0.0067;0.0124;0.5163;"Full";1
"C-SGD";67.498;0.0314;0.0066;0.011;0.5283;"Full";1
"B-SGD";40.175;0.0317;0.0067;0.0113;0.3993;"Full";1
"glmPCA";667.678;0.0381;0.1462;0.02;-0.016;"Train";1
"NBWaVE";324.858;0.0298;0.1448;0.0127;0.4458;"Train";1
"CMF";773.657;0.0332;0.1455;0.0093;0.0451;"Train";1
"NMF";695.155;0.0343;0.1457;0.0107;0.0731;"Train";1
"NNLM";239.513;0.0319;0.145;0.0093;0.0828;"Train";1
"AIRWLS";287.789;0.0316;0.145;0.0086;0.5168;"Train";1
"Newton";116.371;0.0316;0.1451;0.0085;0.5163;"Train";1
"C-SGD";67.498;0.0302;0.1449;0.01;0.5283;"Train";1
"B-SGD";40.175;0.0294;0.1449;0.0106;0.3993;"Train";1
"glmPCA";667.678;0.038;0.4948;0.0206;-0.016;"Test";1
"NBWaVE";324.858;0.035;0.4944;0.0139;0.4458;"Test";1
"CMF";773.657;0.0343;0.4942;0.0285;0.0451;"Test";1
"NMF";695.155;0.035;0.4942;0.0216;0.0731;"Test";1
"NNLM";239.513;0.0328;0.4944;0.0146;0.0828;"Test";1
"AIRWLS";287.789;0.0329;0.4943;0.0186;0.5168;"Test";1
"Newton";116.371;0.033;0.4943;0.0235;0.5163;"Test";1
"C-SGD";67.498;0.0347;0.4944;0.0138;0.5283;"Test";1
"B-SGD";40.175;0.0384;0.4946;0.0133;0.3993;"Test";1
"glmPCA";656.216;0.0368;0.008;0.0197;-0.0131;"Full";2
"NBWaVE";286.234;0.0305;0.0067;0.0132;0.542;"Full";2
"CMF";729.331;0.0331;0.0073;0.0163;0.1492;"Full";2
"NMF";861.281;0.0336;0.0074;0.0137;0.1336;"Full";2
"NNLM";288.812;0.0317;0.007;0.0108;0.2321;"Full";2
"AIRWLS";359.477;0.0314;0.0069;0.0115;0.5608;"Full";2
"Newton";143.231;0.0314;0.0069;0.0128;0.5557;"Full";2
"C-SGD";92.888;0.0308;0.0068;0.0112;0.5688;"Full";2
"B-SGD";40.69;0.0308;0.0068;0.0114;0.546;"Full";2
"glmPCA";656.216;0.0368;0.1461;0.0196;-0.0131;"Train";2
"NBWaVE";286.234;0.0291;0.1447;0.0128;0.542;"Train";2
"CMF";729.331;0.0327;0.1454;0.0093;0.1492;"Train";2
"NMF";861.281;0.0334;0.1456;0.0108;0.1336;"Train";2
"NNLM";288.812;0.0314;0.1451;0.0093;0.2321;"Train";2
"AIRWLS";359.477;0.0311;0.145;0.0085;0.5608;"Train";2
"Newton";143.231;0.031;0.1451;0.0085;0.5557;"Train";2
"C-SGD";92.888;0.0297;0.1448;0.0101;0.5688;"Train";2
"B-SGD";40.69;0.0287;0.1448;0.0106;0.546;"Train";2
"glmPCA";656.216;0.0368;0.4952;0.0202;-0.0131;"Test";2
"NBWaVE";286.234;0.0345;0.4948;0.0143;0.542;"Test";2
"CMF";729.331;0.0343;0.4949;0.0362;0.1492;"Test";2
"NMF";861.281;0.0342;0.4946;0.0222;0.1336;"Test";2
"NNLM";288.812;0.0323;0.4948;0.0151;0.2321;"Test";2
"AIRWLS";359.477;0.0324;0.4947;0.02;0.5608;"Test";2
"Newton";143.231;0.0325;0.4947;0.025;0.5557;"Test";2
"C-SGD";92.888;0.0339;0.4948;0.0143;0.5688;"Test";2
"B-SGD";40.69;0.037;0.495;0.0135;0.546;"Test";2
"glmPCA";791.073;0.0373;0.0085;0.0185;-0.0338;"Full";3
"NBWaVE";300.055;0.0309;0.0071;0.0122;0.4614;"Full";3
"CMF";854.389;0.0333;0.0076;0.014;0.0997;"Full";3
"NMF";697.292;0.034;0.0077;0.0128;0.0474;"Full";3
"NNLM";251.35;0.032;0.0073;0.01;0.0513;"Full";3
"AIRWLS";289.214;0.0318;0.0073;0.0106;0.4673;"Full";3
"Newton";114.781;0.0318;0.0073;0.0118;0.46;"Full";3
"C-SGD";67.77;0.0313;0.0072;0.0104;0.4643;"Full";3
"B-SGD";39.708;0.0311;0.0071;0.0106;0.3888;"Full";3
"glmPCA";791.073;0.0373;0.1466;0.0183;-0.0338;"Train";3
"NBWaVE";300.055;0.0296;0.1451;0.0119;0.4614;"Train";3
"CMF";854.389;0.033;0.1458;0.0087;0.0997;"Train";3
"NMF";697.292;0.0338;0.1461;0.0099;0.0474;"Train";3
"NNLM";251.35;0.0317;0.1455;0.0087;0.0513;"Train";3
"AIRWLS";289.214;0.0315;0.1455;0.008;0.4673;"Train";3
"Newton";114.781;0.0314;0.1455;0.008;0.46;"Train";3
"C-SGD";67.77;0.0303;0.1453;0.0094;0.4643;"Train";3
"B-SGD";39.708;0.0289;0.1452;0.0099;0.3888;"Train";3
"glmPCA";791.073;0.0374;0.4953;0.019;-0.0338;"Test";3
"NBWaVE";300.055;0.0349;0.4949;0.0131;0.4614;"Test";3
"CMF";854.389;0.0342;0.4949;0.0293;0.0997;"Test";3
"NMF";697.292;0.0346;0.4947;0.0211;0.0474;"Test";3
"NNLM";251.35;0.0328;0.4949;0.014;0.0513;"Test";3
"AIRWLS";289.214;0.0328;0.4948;0.018;0.4673;"Test";3
"Newton";114.781;0.0329;0.4947;0.023;0.46;"Test";3
"C-SGD";67.77;0.0342;0.4949;0.0132;0.4643;"Test";3
"B-SGD";39.708;0.0374;0.495;0.0124;0.3888;"Test";3
"glmPCA";685.464;0.0375;0.0083;0.0188;-0.0122;"Full";4
"NBWaVE";285.989;0.0312;0.0069;0.0125;0.4444;"Full";4
"CMF";725.42;0.0337;0.0075;0.0194;0.017;"Full";4
"NMF";696.261;0.0341;0.0076;0.0129;0.0373;"Full";4
"NNLM";243.998;0.0323;0.0072;0.0104;0.0545;"Full";4
"AIRWLS";291.519;0.032;0.0072;0.011;0.5062;"Full";4
"Newton";117.05;0.0321;0.0072;0.0125;0.5072;"Full";4
"C-SGD";67.486;0.0315;0.0071;0.0108;0.4016;"Full";4
"B-SGD";40.139;0.0315;0.0071;0.011;0.3647;"Full";4
"glmPCA";685.464;0.0374;0.1463;0.0187;-0.0122;"Train";4
"NBWaVE";285.989;0.0297;0.1449;0.0122;0.4444;"Train";4
"CMF";725.42;0.0332;0.1457;0.009;0.017;"Train";4
"NMF";696.261;0.0339;0.1458;0.0102;0.0373;"Train";4
"NNLM";243.998;0.032;0.1452;0.009;0.0545;"Train";4
"AIRWLS";291.519;0.0317;0.1452;0.0082;0.5062;"Train";4
"Newton";117.05;0.0316;0.1452;0.0082;0.5072;"Train";4
"C-SGD";67.486;0.0304;0.145;0.0097;0.4016;"Train";4
"B-SGD";40.139;0.0293;0.1449;0.0103;0.3647;"Train";4
"glmPCA";685.464;0.0375;0.4954;0.0194;-0.0122;"Test";4
"NBWaVE";285.989;0.0352;0.4951;0.0136;0.4444;"Test";4
"CMF";725.42;0.0351;0.4948;0.0493;0.017;"Test";4
"NMF";696.261;0.0347;0.4949;0.0207;0.0373;"Test";4
"NNLM";243.998;0.0331;0.4952;0.0147;0.0545;"Test";4
"AIRWLS";291.519;0.0331;0.4951;0.0188;0.5062;"Test";4
"Newton";117.05;0.0333;0.495;0.0247;0.5072;"Test";4
"C-SGD";67.486;0.0346;0.4952;0.0138;0.4016;"Test";4
"B-SGD";40.139;0.0375;0.4953;0.013;0.3647;"Test";4
"glmPCA";689.264;0.0392;0.0074;0.0201;-0.0145;"Full";5
"NBWaVE";245.351;0.0319;0.006;0.0133;0.5255;"Full";5
"CMF";721.654;0.034;0.0064;0.0147;0.0269;"Full";5
"NMF";692.401;0.035;0.0066;0.0137;0.0587;"Full";5
"NNLM";234.088;0.0329;0.0062;0.011;0.0854;"Full";5
"AIRWLS";290.497;0.0326;0.0062;0.0114;0.5827;"Full";5
"Newton";116.078;0.0327;0.0062;0.0126;0.529;"Full";5
"C-SGD";67.449;0.0323;0.0061;0.0113;0.5164;"Full";5
"B-SGD";39.668;0.0326;0.0062;0.0117;0.4328;"Full";5
"glmPCA";689.264;0.0391;0.1456;0.0199;-0.0145;"Train";5
"NBWaVE";245.351;0.0304;0.1442;0.013;0.5255;"Train";5
"CMF";721.654;0.0337;0.1449;0.0096;0.0269;"Train";5
"NMF";692.401;0.0348;0.145;0.0109;0.0587;"Train";5
"NNLM";234.088;0.0326;0.1445;0.0095;0.0854;"Train";5
"AIRWLS";290.497;0.0322;0.1445;0.0089;0.5827;"Train";5
"Newton";116.078;0.0322;0.1445;0.0088;0.529;"Train";5
"C-SGD";67.449;0.0311;0.1444;0.0102;0.5164;"Train";5
"B-SGD";39.668;0.03;0.1443;0.0108;0.4328;"Train";5
"glmPCA";689.264;0.0392;0.4948;0.0204;-0.0145;"Test";5
"NBWaVE";245.351;0.0361;0.4944;0.0142;0.5255;"Test";5
"CMF";721.654;0.0349;0.4941;0.0293;0.0269;"Test";5
"NMF";692.401;0.0357;0.4942;0.0216;0.0587;"Test";5
"NNLM";234.088;0.0337;0.4944;0.0152;0.0854;"Test";5
"AIRWLS";290.497;0.0338;0.4943;0.0185;0.5827;"Test";5
"Newton";116.078;0.0339;0.4943;0.0235;0.529;"Test";5
"C-SGD";67.449;0.0356;0.4944;0.0145;0.5164;"Test";5
"B-SGD";39.668;0.0401;0.4945;0.014;0.4328;"Test";5
"glmPCA";676.86;0.037;0.0078;0.0252;-0.0201;"Full";6
"NBWaVE";293.157;0.03;0.0063;0.0137;0.4585;"Full";6
"CMF";738.127;0.0319;0.0067;0.0146;0.2233;"Full";6
"NMF";NA;NA;NA;NA;NA;"Full";6
"NNLM";236.945;0.0309;0.0065;0.0111;0.1819;"Full";6
"AIRWLS";288.969;0.0307;0.0065;0.0115;0.5022;"Full";6
"Newton";109.864;0.0307;0.0065;0.0124;0.5059;"Full";6
"C-SGD";67.292;0.0304;0.0064;0.0113;0.4606;"Full";6
"B-SGD";40.124;0.0304;0.0064;0.0116;0.4089;"Full";6
"glmPCA";676.86;0.037;0.1457;0.0249;-0.0201;"Train";6
"NBWaVE";293.157;0.0285;0.1443;0.013;0.4585;"Train";6
"CMF";738.127;0.0315;0.1449;0.0094;0.2233;"Train";6
"NMF";NA;NA;NA;NA;NA;"Train";6
"NNLM";236.945;0.0307;0.1445;0.0095;0.1819;"Train";6
"AIRWLS";288.969;0.0303;0.1446;0.0088;0.5022;"Train";6
"Newton";109.864;0.0302;0.1446;0.0088;0.5059;"Train";6
"C-SGD";67.292;0.0292;0.1444;0.0102;0.4606;"Train";6
"B-SGD";40.124;0.028;0.1444;0.0107;0.4089;"Train";6
"glmPCA";676.86;0.0372;0.4952;0.0261;-0.0201;"Test";6
"NBWaVE";293.157;0.0341;0.4948;0.0155;0.4585;"Test";6
"CMF";738.127;0.0329;0.4946;0.0296;0.2233;"Test";6
"NMF";NA;NA;NA;NA;NA;"Test";6
"NNLM";236.945;0.0318;0.4949;0.0159;0.1819;"Test";6
"AIRWLS";288.969;0.0319;0.4947;0.0193;0.5022;"Test";6
"Newton";109.864;0.032;0.4947;0.0228;0.5059;"Test";6
"C-SGD";67.292;0.0337;0.4948;0.0146;0.4606;"Test";6
"B-SGD";40.124;0.0373;0.4949;0.014;0.4089;"Test";6
"glmPCA";654.845;0.0336;0.0083;0.0184;-0.0294;"Full";7
"NBWaVE";321.781;0.0278;0.0069;0.0125;0.4862;"Full";7
"CMF";733.361;0.0299;0.0074;0.0157;0.0434;"Full";7
"NMF";694.539;0.0305;0.0075;0.0129;0.0397;"Full";7
"NNLM";240.207;0.0286;0.0071;0.0104;0.1146;"Full";7
"AIRWLS";290.018;0.0284;0.0071;0.0112;0.5071;"Full";7
"Newton";112.779;0.0284;0.0071;0.0122;0.5209;"Full";7
