"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";729.819;0.0347;0.0089;0.0207;-0.0159;"Full";1
"NBWaVE";342.794;0.0284;0.0073;0.0128;0.3873;"Full";1
"CMF";1074.189;0.031;0.008;0.0158;0.03;"Full";1
"NMF";855.589;0.0316;0.0081;0.0135;0.0551;"Full";1
"NNLM";303.76;0.0298;0.0077;0.0103;0.0979;"Full";1
"AIRWLS";366.47;0.0295;0.0076;0.011;0.5067;"Full";1
"Newton";129.252;0.0296;0.0076;0.0123;0.5019;"Full";1
"C-SGD";77.164;0.029;0.0075;0.0107;0.4815;"Full";1
"B-SGD";45.487;0.0292;0.0075;0.0109;0.4467;"Full";1
"glmPCA";729.819;0.0346;0.147;0.0205;-0.0159;"Train";1
"NBWaVE";342.794;0.0268;0.1454;0.0123;0.3873;"Train";1
"CMF";1074.189;0.0306;0.1464;0.0086;0.03;"Train";1
"NMF";855.589;0.0314;0.1465;0.0101;0.0551;"Train";1
"NNLM";303.76;0.0295;0.1458;0.0086;0.0979;"Train";1
"AIRWLS";366.47;0.0291;0.1458;0.0079;0.5067;"Train";1
"Newton";129.252;0.0291;0.1459;0.0079;0.5019;"Train";1
"C-SGD";77.164;0.0277;0.1456;0.0095;0.4815;"Train";1
"B-SGD";45.487;0.0266;0.1455;0.01;0.4467;"Train";1
"glmPCA";729.819;0.0347;0.4952;0.0212;-0.0159;"Test";1
"NBWaVE";342.794;0.0328;0.4949;0.0141;0.3873;"Test";1
"CMF";1074.189;0.0321;0.4946;0.0366;0.03;"Test";1
"NMF";855.589;0.0323;0.4946;0.0232;0.0551;"Test";1
"NNLM";303.76;0.0306;0.495;0.0152;0.0979;"Test";1
"AIRWLS";366.47;0.0307;0.4948;0.0198;0.5067;"Test";1
"Newton";129.252;0.0309;0.4948;0.025;0.5019;"Test";1
"C-SGD";77.164;0.0329;0.495;0.0141;0.4815;"Test";1
"B-SGD";45.487;0.0365;0.4952;0.0134;0.4467;"Test";1
"glmPCA";734.587;0.0353;0.0079;0.0192;-0.0142;"Full";2
"NBWaVE";377.132;0.0286;0.0064;0.0128;0.4617;"Full";2
"CMF";1053.974;0.0304;0.0068;0.0154;-0.0409;"Full";2
"NMF";NA;NA;NA;NA;NA;"Full";2
"NNLM";296.027;0.0298;0.0067;0.0103;0.1706;"Full";2
"AIRWLS";375.05;0.0295;0.0066;0.0108;0.5613;"Full";2
"Newton";125.24;0.0295;0.0066;0.0122;0.5574;"Full";2
"C-SGD";78.257;0.0292;0.0066;0.0108;0.5075;"Full";2
"B-SGD";46.707;0.0294;0.0066;0.011;0.4774;"Full";2
"glmPCA";734.587;0.0353;0.1462;0.0191;-0.0142;"Train";2
"NBWaVE";377.132;0.027;0.1447;0.0123;0.4617;"Train";2
"CMF";1053.974;0.0301;0.1456;0.0086;-0.0409;"Train";2
"NMF";NA;NA;NA;NA;NA;"Train";2
"NNLM";296.027;0.0295;0.145;0.0088;0.1706;"Train";2
"AIRWLS";375.05;0.0291;0.145;0.0081;0.5613;"Train";2
"Newton";125.24;0.029;0.1451;0.0081;0.5574;"Train";2
"C-SGD";78.257;0.0279;0.1449;0.0094;0.5075;"Train";2
"B-SGD";46.707;0.0265;0.1448;0.0101;0.4774;"Train";2
"glmPCA";734.587;0.0352;0.4946;0.0195;-0.0142;"Test";2
"NBWaVE";377.132;0.0331;0.4943;0.0142;0.4617;"Test";2
"CMF";1053.974;0.0315;0.4937;0.0348;-0.0409;"Test";2
"NMF";NA;NA;NA;NA;NA;"Test";2
"NNLM";296.027;0.0307;0.4944;0.0148;0.1706;"Test";2
"AIRWLS";375.05;0.0309;0.4942;0.0183;0.5613;"Test";2
"Newton";125.24;0.031;0.4942;0.024;0.5574;"Test";2
"C-SGD";78.257;0.0331;0.4944;0.0147;0.5075;"Test";2
"B-SGD";46.707;0.0378;0.4945;0.0135;0.4774;"Test";2
"glmPCA";724.711;0.0397;0.008;0.0226;-0.0275;"Full";3
"NBWaVE";353.379;0.0322;0.0065;0.0141;0.4276;"Full";3
"CMF";1064.761;0.0344;0.007;0.0157;0.0251;"Full";3
"NMF";855.699;0.0358;0.0073;0.0148;0.0623;"Full";3
"NNLM";290.149;0.0336;0.0069;0.0114;0.0769;"Full";3
"AIRWLS";370.608;0.0334;0.0068;0.0119;0.4719;"Full";3
"Newton";130.923;0.0332;0.0068;0.0131;0.4827;"Full";3
"C-SGD";76.124;0.0329;0.0067;0.0119;0.4716;"Full";3
"B-SGD";45.668;0.0331;0.0068;0.0124;0.4157;"Full";3
"glmPCA";724.711;0.0397;0.1462;0.0224;-0.0275;"Train";3
"NBWaVE";353.379;0.0304;0.1447;0.0136;0.4276;"Train";3
"CMF";1064.761;0.034;0.1456;0.0095;0.0251;"Train";3
"NMF";855.699;0.0356;0.1457;0.0111;0.0623;"Train";3
"NNLM";290.149;0.0333;0.145;0.0097;0.0769;"Train";3
"AIRWLS";370.608;0.0328;0.1451;0.009;0.4719;"Train";3
"Newton";130.923;0.0327;0.1451;0.009;0.4827;"Train";3
"C-SGD";76.124;0.0313;0.1449;0.0106;0.4716;"Train";3
"B-SGD";45.668;0.0295;0.1448;0.0114;0.4157;"Train";3
"glmPCA";724.711;0.0396;0.495;0.0231;-0.0275;"Test";3
"NBWaVE";353.379;0.0372;0.4946;0.0156;0.4276;"Test";3
"CMF";1064.761;0.0354;0.4941;0.0331;0.0251;"Test";3
"NMF";855.699;0.0365;0.4944;0.0253;0.0623;"Test";3
"NNLM";290.149;0.0344;0.4947;0.0163;0.0769;"Test";3
"AIRWLS";370.608;0.0348;0.4945;0.0203;0.4719;"Test";3
"Newton";130.923;0.0349;0.4945;0.0245;0.4827;"Test";3
"C-SGD";76.124;0.0375;0.4947;0.0155;0.4716;"Test";3
"B-SGD";45.668;0.0433;0.4948;0.0149;0.4157;"Test";3
"glmPCA";753.777;0.0387;0.0069;0.0217;-0.0252;"Full";4
"NBWaVE";343.526;0.0305;0.0055;0.0146;0.4334;"Full";4
"CMF";1061.969;0.033;0.0059;0.0194;0.0521;"Full";4
"NMF";NA;NA;NA;NA;NA;"Full";4
"NNLM";295.901;0.0321;0.0058;0.0119;0.144;"Full";4
"AIRWLS";373.249;0.0319;0.0057;0.0123;0.5087;"Full";4
"Newton";123.817;0.0318;0.0057;0.0137;0.5016;"Full";4
"C-SGD";75.78;0.0317;0.0057;0.0123;0.476;"Full";4
"B-SGD";46.101;0.0325;0.0058;0.0131;0.4299;"Full";4
"glmPCA";753.777;0.0387;0.1454;0.0216;-0.0252;"Train";4
"NBWaVE";343.526;0.0286;0.1439;0.0141;0.4334;"Train";4
"CMF";1061.969;0.0324;0.1449;0.0101;0.0521;"Train";4
"NMF";NA;NA;NA;NA;NA;"Train";4
"NNLM";295.901;0.0317;0.1442;0.0102;0.144;"Train";4
"AIRWLS";373.249;0.0312;0.1443;0.0096;0.5087;"Train";4
"Newton";123.817;0.0311;0.1443;0.0096;0.5016;"Train";4
"C-SGD";75.78;0.03;0.1442;0.0109;0.476;"Train";4
"B-SGD";46.101;0.0281;0.1442;0.0119;0.4299;"Train";4
"glmPCA";753.777;0.0389;0.4942;0.0221;-0.0252;"Test";4
"NBWaVE";343.526;0.036;0.4938;0.0159;0.4334;"Test";4
"CMF";1061.969;0.0347;0.493;0.0459;0.0521;"Test";4
"NMF";NA;NA;NA;NA;NA;"Test";4
"NNLM";295.901;0.0332;0.4939;0.0168;0.144;"Test";4
"AIRWLS";373.249;0.034;0.4937;0.0202;0.5087;"Test";4
"Newton";123.817;0.0336;0.4937;0.0255;0.5016;"Test";4
"C-SGD";75.78;0.0368;0.4939;0.0164;0.476;"Test";4
"B-SGD";46.101;0.045;0.494;0.0164;0.4299;"Test";4
"glmPCA";761.822;0.0356;0.0069;0.0221;-0.0133;"Full";5
"NBWaVE";429.651;0.0288;0.0056;0.0142;0.3984;"Full";5
"CMF";1069.983;0.0308;0.006;0.0191;-0.0103;"Full";5
"NMF";855.95;0.0319;0.0062;0.0147;0.0651;"Full";5
"NNLM";291.936;0.0298;0.0058;0.0118;0.1403;"Full";5
"AIRWLS";371.169;0.0296;0.0058;0.0121;0.5031;"Full";5
"Newton";125.003;0.0296;0.0058;0.0136;0.4945;"Full";5
"C-SGD";77.063;0.0296;0.0058;0.012;0.4642;"Full";5
"B-SGD";45.355;0.0299;0.0059;0.0125;0.3415;"Full";5
"glmPCA";761.822;0.0356;0.1453;0.0218;-0.0133;"Train";5
"NBWaVE";429.651;0.0271;0.144;0.0137;0.3984;"Train";5
"CMF";1069.983;0.0303;0.1448;0.0098;-0.0103;"Train";5
"NMF";855.95;0.0316;0.1448;0.0113;0.0651;"Train";5
"NNLM";291.936;0.0294;0.1442;0.0099;0.1403;"Train";5
"AIRWLS";371.169;0.0291;0.1442;0.0093;0.5031;"Train";5
"Newton";125.003;0.029;0.1442;0.0093;0.4945;"Train";5
"C-SGD";77.063;0.0281;0.1441;0.0106;0.4642;"Train";5
"B-SGD";45.355;0.0265;0.1441;0.0115;0.3415;"Train";5
"glmPCA";761.822;0.0357;0.4944;0.0227;-0.0133;"Test";5
"NBWaVE";429.651;0.0336;0.494;0.0157;0.3984;"Test";5
"CMF";1069.983;0.0321;0.4933;0.046;-0.0103;"Test";5
"NMF";855.95;0.0328;0.4938;0.0246;0.0651;"Test";5
"NNLM";291.936;0.0309;0.4942;0.0171;0.1403;"Test";5
"AIRWLS";371.169;0.0313;0.494;0.0204;0.5031;"Test";5
