"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";2139.394;0.0497;0.0135;0.0272;-0.0158;"Full";1
"NBWaVE";209.484;0.0452;0.0123;0.0203;0.4468;"Full";1
"CMF";353.073;0.0457;0.0125;0.0207;0.0444;"Full";1
"NMF";481.321;0.0468;0.0128;0.0222;0.005;"Full";1
"NNLM";362.201;0.0449;0.0123;0.02;0.0225;"Full";1
"AIRWLS";169.141;0.044;0.0121;0.0184;0.4966;"Full";1
"Newton";153.923;0.0439;0.0121;0.0185;0.4537;"Full";1
"C-SGD";66.454;0.0439;0.012;0.0189;0.4749;"Full";1
"B-SGD";42.529;0.0432;0.0119;0.0189;0.4462;"Full";1
"glmPCA";2139.394;0.0497;0.1509;0.0272;-0.0158;"Train";1
"NBWaVE";209.484;0.0451;0.1498;0.0201;0.4468;"Train";1
"CMF";353.073;0.0457;0.15;0.0203;0.0444;"Train";1
"NMF";481.321;0.0467;0.1502;0.0219;0.005;"Train";1
"NNLM";362.201;0.0448;0.1498;0.0197;0.0225;"Train";1
"AIRWLS";169.141;0.0439;0.1496;0.0181;0.4966;"Train";1
"Newton";153.923;0.0439;0.1496;0.0181;0.4537;"Train";1
"C-SGD";66.454;0.0438;0.1495;0.0188;0.4749;"Train";1
"B-SGD";42.529;0.043;0.1494;0.0188;0.4462;"Train";1
"glmPCA";2139.394;0.0497;0.4979;0.0274;-0.0158;"Test";1
"NBWaVE";209.484;0.0456;0.4973;0.0206;0.4468;"Test";1
"CMF";353.073;0.0458;0.4975;0.0219;0.0444;"Test";1
"NMF";481.321;0.0469;0.4975;0.0231;0.005;"Test";1
"NNLM";362.201;0.045;0.4973;0.0207;0.0225;"Test";1
"AIRWLS";169.141;0.0441;0.4972;0.0194;0.4966;"Test";1
"Newton";153.923;0.0441;0.4972;0.0196;0.4537;"Test";1
"C-SGD";66.454;0.0443;0.4972;0.0194;0.4749;"Test";1
"B-SGD";42.529;0.0437;0.4972;0.0194;0.4462;"Test";1
"glmPCA";1655.833;0.0501;0.0129;0.0272;-0.0272;"Full";2
"NBWaVE";207.811;0.0455;0.0117;0.02;0.4721;"Full";2
"CMF";349.374;0.0457;0.0118;Inf;0.0226;"Full";2
"NMF";484.497;0.0468;0.012;0.0212;-0.0196;"Full";2
"NNLM";276.177;0.045;0.0116;0.0192;-0.0459;"Full";2
"AIRWLS";169.663;0.0443;0.0114;0.0183;0.4545;"Full";2
"Newton";138.634;0.0442;0.0114;0.0183;0.4824;"Full";2
