"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";596.72;0.037;0.0077;0.0204;-0.0215;"Full";1
"NBWaVE";271.981;0.0311;0.0065;0.0135;0.5466;"Full";1
"CMF";472.356;0.0328;0.0069;0.0153;0.1946;"Full";1
"NMF";564.615;0.0335;0.007;0.0142;0.0785;"Full";1
"NNLM";188.508;0.0314;0.0066;0.0113;0.0954;"Full";1
"AIRWLS";224.579;0.0312;0.0066;0.0119;0.5935;"Full";1
"Newton";104.191;0.0312;0.0066;0.0127;0.583;"Full";1
"C-SGD";59.63;0.0307;0.0065;0.0116;0.5405;"Full";1
"B-SGD";33.632;0.0306;0.0065;0.0118;0.5005;"Full";1
"glmPCA";596.72;0.037;0.1459;0.0203;-0.0215;"Train";1
"NBWaVE";271.981;0.03;0.1447;0.0133;0.5466;"Train";1
"CMF";472.356;0.0326;0.1451;0.0104;0.1946;"Train";1
"NMF";564.615;0.0334;0.1454;0.0119;0.0785;"Train";1
"NNLM";188.508;0.0312;0.1449;0.0102;0.0954;"Train";1
"AIRWLS";224.579;0.031;0.1448;0.0094;0.5935;"Train";1
"Newton";104.191;0.031;0.1449;0.0094;0.583;"Train";1
"C-SGD";59.63;0.03;0.1447;0.0108;0.5405;"Train";1
"B-SGD";33.632;0.0291;0.1446;0.0113;0.5005;"Train";1
"glmPCA";596.72;0.037;0.4949;0.0208;-0.0215;"Test";1
"NBWaVE";271.981;0.0339;0.4945;0.0144;0.5466;"Test";1
"CMF";472.356;0.0335;0.4946;0.0292;0.1946;"Test";1
"NMF";564.615;0.034;0.4944;0.0208;0.0785;"Test";1
"NNLM";188.508;0.0319;0.4945;0.0144;0.0954;"Test";1
"AIRWLS";224.579;0.0319;0.4944;0.0191;0.5935;"Test";1
"Newton";104.191;0.032;0.4944;0.022;0.583;"Test";1
"C-SGD";59.63;0.0328;0.4945;0.0139;0.5405;"Test";1
"B-SGD";33.632;0.035;0.4946;0.0134;0.5005;"Test";1
"glmPCA";610.32;0.0403;0.0075;0.0262;-0.0225;"Full";2
"NBWaVE";239.393;0.0331;0.0062;0.0144;0.5709;"Full";2
