"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";1144.719;0.0503;0.014;0.0286;-0.0315;"Full";1
"NBWaVE";203.868;0.0456;0.0127;0.019;0.4563;"Full";1
"CMF";351.648;0.0457;0.0128;0.0184;0.0222;"Full";1
"NMF";NA;NA;NA;NA;NA;"Full";1
"NNLM";275.719;0.0453;0.0127;0.0179;0.0025;"Full";1
"AIRWLS";329.866;0.0445;0.0124;0.0171;0.4668;"Full";1
"Newton";208.147;0.0444;0.0124;0.0171;0.4709;"Full";1
"C-SGD";67.289;0.0444;0.0124;0.0179;0.3508;"Full";1
"B-SGD";43.803;0.0438;0.0123;0.0177;0.3482;"Full";1
"glmPCA";1144.719;0.0503;0.1515;0.0285;-0.0315;"Train";1
"NBWaVE";203.868;0.0455;0.1504;0.0188;0.4563;"Train";1
"CMF";351.648;0.0456;0.1504;0.0179;0.0222;"Train";1
"NMF";NA;NA;NA;NA;NA;"Train";1
"NNLM";275.719;0.0453;0.1504;0.0177;0.0025;"Train";1
"AIRWLS";329.866;0.0444;0.1502;0.0167;0.4668;"Train";1
"Newton";208.147;0.0444;0.1501;0.0167;0.4709;"Train";1
"C-SGD";67.289;0.0443;0.1501;0.0177;0.3508;"Train";1
"B-SGD";43.803;0.0436;0.15;0.0176;0.3482;"Train";1
"glmPCA";1144.719;0.0504;0.4977;0.029;-0.0315;"Test";1
"NBWaVE";203.868;0.0461;0.4971;0.0195;0.4563;"Test";1
"CMF";351.648;0.0458;0.4971;0.0199;0.0222;"Test";1
"NMF";NA;NA;NA;NA;NA;"Test";1
"NNLM";275.719;0.0455;0.4971;0.0188;0.0025;"Test";1
"AIRWLS";329.866;0.0446;0.497;0.0182;0.4668;"Test";1
"Newton";208.147;0.0446;0.497;0.0184;0.4709;"Test";1
"C-SGD";67.289;0.0449;0.497;0.0184;0.3508;"Test";1
"B-SGD";43.803;0.0443;0.497;0.0182;0.3482;"Test";1
"glmPCA";1156.597;0.0494;0.014;0.0249;-0.0222;"Full";2
"NBWaVE";212.431;0.0448;0.0127;0.0187;0.4599;"Full";2
"CMF";359.122;0.0453;0.0129;0.0188;0.0342;"Full";2
"NMF";482.306;0.0463;0.0131;0.0199;0.0284;"Full";2
"NNLM";273.222;0.0445;0.0127;0.018;0.0749;"Full";2
"AIRWLS";273.156;0.0437;0.0124;0.0171;0.4358;"Full";2
"Newton";148.294;0.0437;0.0124;0.0171;0.46;"Full";2
"C-SGD";66.71;0.0436;0.0124;0.0175;0.3705;"Full";2
"B-SGD";43.196;0.043;0.0123;0.0175;0.4082;"Full";2
"glmPCA";1156.597;0.0494;0.1514;0.0248;-0.0222;"Train";2
"NBWaVE";212.431;0.0447;0.1503;0.0186;0.4599;"Train";2
