"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"AIRWLS";137.625;0.0376;0.4955;0.0159;0.4706;"Test";3
"Newton";87.186;0.0376;0.4955;0.016;0.4785;"Test";3
"C-SGD";44.746;0.0379;0.4955;0.0161;0.3976;"Test";3
"B-SGD";27.324;0.0377;0.4955;0.016;0.3902;"Test";3
"glmPCA";713.762;0.0454;0.0093;0.0266;-0.0095;"Full";4
"NBWaVE";118.486;0.0404;0.0083;0.0192;0.491;"Full";4
"CMF";205.94;0.041;0.0084;0.0197;-0.0094;"Full";4
"NMF";275.09;0.0422;0.0086;0.0209;0.0072;"Full";4
"NNLM";152.783;0.0399;0.0082;0.0182;-0.0102;"Full";4
"AIRWLS";93.327;0.0391;0.0081;0.0173;0.4395;"Full";4
"Newton";100.852;0.0391;0.0081;0.0173;0.4924;"Full";4
"C-SGD";44.756;0.039;0.008;0.0177;0.4236;"Full";4
"B-SGD";27.218;0.0386;0.008;0.0178;0.4034;"Full";4
"glmPCA";713.762;0.0454;0.1473;0.0265;-0.0095;"Train";4
"NBWaVE";118.486;0.0402;0.1464;0.0191;0.491;"Train";4
"CMF";205.94;0.041;0.1466;0.0189;-0.0094;"Train";4
"NMF";275.09;0.0422;0.1468;0.0204;0.0072;"Train";4
"NNLM";152.783;0.0399;0.1464;0.018;-0.0102;"Train";4
"AIRWLS";93.327;0.0391;0.1462;0.0169;0.4395;"Train";4
"Newton";100.852;0.039;0.1462;0.0169;0.4924;"Train";4
"C-SGD";44.756;0.0389;0.1462;0.0175;0.4236;"Train";4
"B-SGD";27.218;0.0384;0.1461;0.0176;0.4034;"Train";4
"glmPCA";713.762;0.0453;0.4956;0.0268;-0.0095;"Test";4
"NBWaVE";118.486;0.0408;0.4951;0.0195;0.491;"Test";4
"CMF";205.94;0.0411;0.4952;0.022;-0.0094;"Test";4
"NMF";275.09;0.0423;0.4952;0.0222;0.0072;"Test";4
"NNLM";152.783;0.04;0.4951;0.0189;-0.0102;"Test";4
"AIRWLS";93.327;0.0392;0.495;0.0183;0.4395;"Test";4
"Newton";100.852;0.0392;0.495;0.0185;0.4924;"Test";4
"C-SGD";44.756;0.0394;0.495;0.0183;0.4236;"Test";4
"B-SGD";27.218;0.0393;0.495;0.0182;0.4034;"Test";4
"glmPCA";68.728;0.0453;0.0114;0.0274;-0.0167;"Full";5
"NBWaVE";115.912;0.0404;0.0102;0.0157;0.4919;"Full";5
"CMF";205.337;0.0414;0.0105;Inf;0.229;"Full";5
"NMF";NA;NA;NA;NA;NA;"Full";5
"NNLM";151.892;0.0401;0.0102;0.0151;-0.0045;"Full";5
"AIRWLS";186.677;0.0393;0.01;0.0138;0.4754;"Full";5
"Newton";123.059;0.0393;0.01;0.0139;0.4188;"Full";5
"C-SGD";43.774;0.0391;0.01;0.0143;0.454;"Full";5
"B-SGD";27.019;0.0387;0.0099;0.0143;0.3696;"Full";5
"glmPCA";68.728;0.0453;0.1492;0.0271;-0.0167;"Train";5
"NBWaVE";115.912;0.0402;0.1482;0.0154;0.4919;"Train";5
"CMF";205.337;0.0412;0.1484;0.015;0.229;"Train";5
"NMF";NA;NA;NA;NA;NA;"Train";5
"NNLM";151.892;0.04;0.1481;0.0143;-0.0045;"Train";5
"AIRWLS";186.677;0.0393;0.148;0.0129;0.4754;"Train";5
"Newton";123.059;0.0393;0.148;0.0129;0.4188;"Train";5
"C-SGD";43.774;0.0389;0.1479;0.014;0.454;"Train";5
"B-SGD";27.019;0.0385;0.1478;0.0139;0.3696;"Train";5
"glmPCA";68.728;0.0453;0.4966;0.0281;-0.0167;"Test";5
"NBWaVE";115.912;0.0409;0.4959;0.0167;0.4919;"Test";5
"CMF";205.337;0.0418;0.4962;Inf;0.229;"Test";5
"NMF";NA;NA;NA;NA;NA;"Test";5
"NNLM";151.892;0.0403;0.496;0.0172;-0.0045;"Test";5
"AIRWLS";186.677;0.0395;0.4959;0.0162;0.4754;"Test";5
"Newton";123.059;0.0395;0.4959;0.0169;0.4188;"Test";5
"C-SGD";43.774;0.0395;0.4959;0.0153;0.454;"Test";5
"B-SGD";27.019;0.0394;0.4959;0.0153;0.3696;"Test";5
"glmPCA";679.547;0.0428;0.0105;0.025;-0.0153;"Full";6
"NBWaVE";113.984;0.0383;0.0094;0.0172;0.3267;"Full";6
"CMF";210.417;0.0385;0.0095;Inf;0.1719;"Full";6
"NMF";274.791;0.0395;0.0097;0.018;0.0533;"Full";6
"NNLM";152.456;0.0378;0.0094;0.0159;0.0421;"Full";6
"AIRWLS";167.878;0.0373;0.0092;0.0154;0.385;"Full";6
"Newton";101.922;0.0372;0.0092;0.0155;0.454;"Full";6
"C-SGD";43.991;0.037;0.0092;0.0157;0.4137;"Full";6
"B-SGD";26.877;0.0367;0.0091;0.0158;0.3486;"Full";6
"glmPCA";679.547;0.0429;0.1484;0.0248;-0.0153;"Train";6
"NBWaVE";113.984;0.0381;0.1474;0.0171;0.3267;"Train";6
"CMF";210.417;0.0385;0.1475;Inf;0.1719;"Train";6
"NMF";274.791;0.0394;0.1477;0.0175;0.0533;"Train";6
"NNLM";152.456;0.0378;0.1474;0.0156;0.0421;"Train";6
"AIRWLS";167.878;0.0372;0.1473;0.0146;0.385;"Train";6
"Newton";101.922;0.0372;0.1472;0.0146;0.454;"Train";6
"C-SGD";43.991;0.0368;0.1472;0.0155;0.4137;"Train";6
"B-SGD";26.877;0.0364;0.1471;0.0156;0.3486;"Train";6
"glmPCA";679.547;0.0428;0.4962;0.0253;-0.0153;"Test";6
