"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"Newton";77.753;0.0365;0.4957;0.0172;0.4666;"Test";3
"C-SGD";44.479;0.0365;0.4957;0.0169;0.4508;"Test";3
"B-SGD";27.491;0.0364;0.4957;0.0169;0.3995;"Test";3
"glmPCA";634.609;0.0434;0.0105;0.0252;-0.0335;"Full";4
"NBWaVE";116.722;0.0389;0.0094;0.0176;0.4681;"Full";4
"CMF";204.097;0.0392;0.0095;0.0176;0.0113;"Full";4
"NMF";NA;NA;NA;NA;NA;"Full";4
"NNLM";145.865;0.0387;0.0094;0.0169;0.0601;"Full";4
"AIRWLS";114.013;0.0379;0.0092;0.0157;0.4975;"Full";4
"Newton";102.237;0.0379;0.0092;0.0157;0.4927;"Full";4
"C-SGD";45.97;0.0377;0.0092;0.0161;0.4512;"Full";4
"B-SGD";27.58;0.0374;0.0091;0.0162;0.4422;"Full";4
"glmPCA";634.609;0.0434;0.1485;0.0251;-0.0335;"Train";4
"NBWaVE";116.722;0.0388;0.1475;0.0175;0.4681;"Train";4
"CMF";204.097;0.0392;0.1476;0.0169;0.0113;"Train";4
"NMF";NA;NA;NA;NA;NA;"Train";4
"NNLM";145.865;0.0387;0.1475;0.0166;0.0601;"Train";4
"AIRWLS";114.013;0.0378;0.1474;0.0153;0.4975;"Train";4
"Newton";102.237;0.0378;0.1473;0.0153;0.4927;"Train";4
"C-SGD";45.97;0.0375;0.1473;0.0159;0.4512;"Train";4
"B-SGD";27.58;0.0371;0.1472;0.0161;0.4422;"Train";4
"glmPCA";634.609;0.0434;0.496;0.0256;-0.0335;"Test";4
"NBWaVE";116.722;0.0394;0.4955;0.018;0.4681;"Test";4
"CMF";204.097;0.0393;0.4956;0.0196;0.0113;"Test";4
"NMF";NA;NA;NA;NA;NA;"Test";4
"NNLM";145.865;0.0388;0.4955;0.018;0.0601;"Test";4
"AIRWLS";114.013;0.0381;0.4954;0.0168;0.4975;"Test";4
"Newton";102.237;0.038;0.4954;0.0169;0.4927;"Test";4
"C-SGD";45.97;0.0381;0.4954;0.0167;0.4512;"Test";4
"B-SGD";27.58;0.0381;0.4954;0.0168;0.4422;"Test";4
"glmPCA";671.892;0.04;0.0118;0.0237;-0.0286;"Full";5
"NBWaVE";115.633;0.0358;0.0106;0.0157;0.4963;"Full";5
"CMF";194.841;0.036;0.0107;Inf;0.0388;"Full";5
"NMF";NA;NA;NA;NA;NA;"Full";5
"NNLM";153.881;0.0356;0.0106;Inf;-0.0296;"Full";5
"AIRWLS";127.296;0.0348;0.0103;0.0138;0.4171;"Full";5
"Newton";79.582;0.0348;0.0103;0.0138;0.416;"Full";5
"C-SGD";44.618;0.0346;0.0103;0.0143;0.4742;"Full";5
"B-SGD";27.235;0.0343;0.0102;0.0144;0.4501;"Full";5
"glmPCA";671.892;0.0399;0.1491;0.0235;-0.0286;"Train";5
"NBWaVE";115.633;0.0356;0.1481;0.0155;0.4963;"Train";5
"CMF";194.841;0.0359;0.1482;0.0149;0.0388;"Train";5
"NMF";NA;NA;NA;NA;NA;"Train";5
"NNLM";153.881;0.0355;0.1481;0.0146;-0.0296;"Train";5
"AIRWLS";127.296;0.0347;0.1479;0.0133;0.4171;"Train";5
"Newton";79.582;0.0347;0.1479;0.0133;0.416;"Train";5
"C-SGD";44.618;0.0344;0.1478;0.0141;0.4742;"Train";5
"B-SGD";27.235;0.0341;0.1477;0.0142;0.4501;"Train";5
"glmPCA";671.892;0.0401;0.4974;0.0241;-0.0286;"Test";5
"NBWaVE";115.633;0.0363;0.4968;0.0163;0.4963;"Test";5
"CMF";194.841;0.0363;0.4969;Inf;0.0388;"Test";5
"NMF";NA;NA;NA;NA;NA;"Test";5
"NNLM";153.881;0.0358;0.4968;Inf;-0.0296;"Test";5
"AIRWLS";127.296;0.0351;0.4967;0.0152;0.4171;"Test";5
"Newton";79.582;0.035;0.4967;0.0153;0.416;"Test";5
"C-SGD";44.618;0.0351;0.4967;0.015;0.4742;"Test";5
"B-SGD";27.235;0.035;0.4967;0.015;0.4501;"Test";5
"glmPCA";635.826;0.0439;0.0119;0.0228;-0.0249;"Full";6
"NBWaVE";116.795;0.0398;0.0108;0.0167;0.4734;"Full";6
"CMF";207.85;0.0402;0.011;0.0166;0.0233;"Full";6
"NMF";NA;NA;NA;NA;NA;"Full";6
"NNLM";153.413;0.0396;0.0108;0.0157;0.0077;"Full";6
"AIRWLS";195.915;0.0389;0.0106;0.015;0.4457;"Full";6
"Newton";93.454;0.0389;0.0106;0.0151;0.4144;"Full";6
"C-SGD";43.483;0.0387;0.0106;0.0153;0.4436;"Full";6
"B-SGD";27.094;0.0383;0.0105;0.0154;0.3693;"Full";6
"glmPCA";635.826;0.0439;0.1494;0.0227;-0.0249;"Train";6
"NBWaVE";116.795;0.0395;0.1485;0.0165;0.4734;"Train";6
"CMF";207.85;0.0401;0.1486;0.0159;0.0233;"Train";6
"NMF";NA;NA;NA;NA;NA;"Train";6
"NNLM";153.413;0.0395;0.1484;0.0154;0.0077;"Train";6
"AIRWLS";195.915;0.0388;0.1483;0.0144;0.4457;"Train";6
"Newton";93.454;0.0388;0.1483;0.0144;0.4144;"Train";6
"C-SGD";43.483;0.0385;0.1482;0.015;0.4436;"Train";6
"B-SGD";27.094;0.038;0.1481;0.0152;0.3693;"Train";6
"glmPCA";635.826;0.0441;0.4971;0.0232;-0.0249;"Test";6
"NBWaVE";116.795;0.0404;0.4966;0.0171;0.4734;"Test";6
"CMF";207.85;0.0405;0.4967;0.0187;0.0233;"Test";6
"NMF";NA;NA;NA;NA;NA;"Test";6
"NNLM";153.413;0.0399;0.4966;0.0168;0.0077;"Test";6
"AIRWLS";195.915;0.0393;0.4965;0.0167;0.4457;"Test";6
"Newton";93.454;0.0392;0.4965;0.0172;0.4144;"Test";6
"C-SGD";43.483;0.0393;0.4966;0.016;0.4436;"Test";6
"B-SGD";27.094;0.0391;0.4966;0.016;0.3693;"Test";6
"glmPCA";644.339;0.0431;0.011;0.0212;-0.0233;"Full";7
"NBWaVE";117.486;0.0387;0.0099;0.0158;0.4703;"Full";7
"CMF";205.553;0.0391;0.0101;Inf;0.1285;"Full";7
"NMF";275.878;0.0403;0.0103;0.0168;0.002;"Full";7
"NNLM";153.912;0.0384;0.0099;0.0147;0.1136;"Full";7
"AIRWLS";121.485;0.0376;0.0097;0.0141;0.4902;"Full";7
"Newton";104.78;0.0376;0.0097;0.0142;0.4912;"Full";7
"C-SGD";43.798;0.0374;0.0097;0.0145;0.414;"Full";7
"B-SGD";26.42;0.037;0.0096;0.0145;0.3756;"Full";7
"glmPCA";644.339;0.0431;0.1492;0.0211;-0.0233;"Train";7
"NBWaVE";117.486;0.0385;0.1482;0.0156;0.4703;"Train";7
"CMF";205.553;0.0391;0.1483;Inf;0.1285;"Train";7
"NMF";275.878;0.0403;0.1486;0.0164;0.002;"Train";7
"NNLM";153.912;0.0384;0.1482;0.0145;0.1136;"Train";7
"AIRWLS";121.485;0.0375;0.148;0.0137;0.4902;"Train";7
"Newton";104.78;0.0375;0.148;0.0137;0.4912;"Train";7
"C-SGD";43.798;0.0373;0.1479;0.0143;0.414;"Train";7
"B-SGD";26.42;0.0367;0.1478;0.0144;0.3756;"Train";7
"glmPCA";644.339;0.043;0.4959;0.0214;-0.0233;"Test";7
"NBWaVE";117.486;0.0391;0.4953;0.0161;0.4703;"Test";7
"CMF";205.553;0.0392;0.4954;Inf;0.1285;"Test";7
"NMF";275.878;0.0403;0.4955;0.0181;0.002;"Test";7
"NNLM";153.912;0.0385;0.4953;0.0155;0.1136;"Test";7
"AIRWLS";121.485;0.0377;0.4952;0.0155;0.4902;"Test";7
"Newton";104.78;0.0377;0.4952;0.0158;0.4912;"Test";7
"C-SGD";43.798;0.0378;0.4952;0.015;0.414;"Test";7
"B-SGD";26.42;0.0377;0.4952;0.015;0.3756;"Test";7
"glmPCA";669.673;0.0429;0.0116;0.0226;-0.0147;"Full";8
"NBWaVE";116.536;0.039;0.0106;0.0164;0.4932;"Full";8
"CMF";213.402;0.0391;0.0107;0.016;-0.0065;"Full";8
"NMF";NA;NA;NA;NA;NA;"Full";8
"NNLM";153.53;0.0387;0.0106;0.0154;-0.003;"Full";8
"AIRWLS";100.478;0.038;0.0104;0.0145;0.4963;"Full";8
"Newton";114.002;0.038;0.0104;0.0146;0.432;"Full";8
"C-SGD";44.014;0.0379;0.0103;0.015;0.3867;"Full";8
"B-SGD";26.958;0.0375;0.0103;0.0151;0.3692;"Full";8
"glmPCA";669.673;0.0429;0.1494;0.0225;-0.0147;"Train";8
"NBWaVE";116.536;0.0388;0.1485;0.0162;0.4932;"Train";8
"CMF";213.402;0.039;0.1486;0.0154;-0.0065;"Train";8
"NMF";NA;NA;NA;NA;NA;"Train";8
"NNLM";153.53;0.0386;0.1485;0.0151;-0.003;"Train";8
"AIRWLS";100.478;0.0379;0.1483;0.0142;0.4963;"Train";8
"Newton";114.002;0.0379;0.1483;0.0142;0.432;"Train";8
"C-SGD";44.014;0.0377;0.1483;0.0148;0.3867;"Train";8
"B-SGD";26.958;0.0372;0.1482;0.0149;0.3692;"Train";8
"glmPCA";669.673;0.043;0.4966;0.0229;-0.0147;"Test";8
"NBWaVE";116.536;0.0395;0.4961;0.0167;0.4932;"Test";8
"CMF";213.402;0.0393;0.4962;0.0177;-0.0065;"Test";8
"NMF";NA;NA;NA;NA;NA;"Test";8
"NNLM";153.53;0.0389;0.4961;0.0163;-0.003;"Test";8
"AIRWLS";100.478;0.0383;0.496;0.0157;0.4963;"Test";8
"Newton";114.002;0.0383;0.496;0.0158;0.432;"Test";8
"C-SGD";44.014;0.0384;0.4961;0.0157;0.3867;"Test";8
"B-SGD";26.958;0.0382;0.496;0.0157;0.3692;"Test";8
"glmPCA";766.24;0.0431;0.0119;0.0209;-0.0187;"Full";9
"NBWaVE";116.941;0.039;0.0108;0.0157;0.4809;"Full";9
"CMF";209.356;0.0398;0.0111;0.0161;0.004;"Full";9
"NMF";275.574;0.0407;0.0112;0.017;-0.0081;"Full";9
"NNLM";152.93;0.0388;0.0108;0.0149;0.0321;"Full";9
"AIRWLS";193.59;0.0381;0.0106;0.0143;0.4293;"Full";9
"Newton";122.501;0.0381;0.0106;0.0145;0.4466;"Full";9
"C-SGD";44.258;0.0379;0.0105;0.0145;0.3669;"Full";9
"B-SGD";27.168;0.0376;0.0105;0.0146;0.3753;"Full";9
"glmPCA";766.24;0.0431;0.1495;0.0208;-0.0187;"Train";9
"NBWaVE";116.941;0.0388;0.1486;0.0155;0.4809;"Train";9
"CMF";209.356;0.0398;0.1488;0.0153;0.004;"Train";9
"NMF";275.574;0.0407;0.149;0.0166;-0.0081;"Train";9
"NNLM";152.93;0.0387;0.1485;0.0146;0.0321;"Train";9
"AIRWLS";193.59;0.038;0.1484;0.0136;0.4293;"Train";9
"Newton";122.501;0.038;0.1484;0.0136;0.4466;"Train";9
"C-SGD";44.258;0.0377;0.1483;0.0143;0.3669;"Train";9
"B-SGD";27.168;0.0373;0.1482;0.0144;0.3753;"Train";9
"glmPCA";766.24;0.0432;0.497;0.0212;-0.0187;"Test";9
"NBWaVE";116.941;0.0396;0.4964;0.0161;0.4809;"Test";9
"CMF";209.356;0.04;0.4965;0.0185;0.004;"Test";9
"NMF";275.574;0.0409;0.4966;0.0182;-0.0081;"Test";9
"NNLM";152.93;0.039;0.4964;0.0157;0.0321;"Test";9
"AIRWLS";193.59;0.0384;0.4963;0.0163;0.4293;"Test";9
"Newton";122.501;0.0384;0.4963;0.017;0.4466;"Test";9
"C-SGD";44.258;0.0385;0.4963;0.0151;0.3669;"Test";9
"B-SGD";27.168;0.0383;0.4963;0.0151;0.3753;"Test";9
"glmPCA";672.188;0.0456;0.0109;0.025;-0.0357;"Full";10
"NBWaVE";114.191;0.0407;0.0098;0.0169;0.4918;"Full";10
"CMF";198.504;0.0413;0.0099;0.0171;0.031;"Full";10
"NMF";NA;NA;NA;NA;NA;"Full";10
"NNLM";153.021;0.0407;0.0098;0.0162;0.0222;"Full";10
"AIRWLS";102.315;0.0396;0.0095;0.0149;0.4962;"Full";10
"Newton";86.176;0.0396;0.0095;0.0149;0.5002;"Full";10
"C-SGD";44.736;0.0393;0.0095;0.0153;0.4981;"Full";10
"B-SGD";27.341;0.039;0.0094;0.0154;0.455;"Full";10
"glmPCA";672.188;0.0455;0.1485;0.0248;-0.0357;"Train";10
"NBWaVE";114.191;0.0405;0.1475;0.0167;0.4918;"Train";10
"CMF";198.504;0.0412;0.1476;0.0162;0.031;"Train";10
"NMF";NA;NA;NA;NA;NA;"Train";10
"NNLM";153.021;0.0406;0.1475;0.0158;0.0222;"Train";10
"AIRWLS";102.315;0.0395;0.1473;0.0143;0.4962;"Train";10
"Newton";86.176;0.0395;0.1473;0.0143;0.5002;"Train";10
"C-SGD";44.736;0.0391;0.1472;0.0151;0.4981;"Train";10
"B-SGD";27.341;0.0387;0.1471;0.0152;0.455;"Train";10
"glmPCA";672.188;0.0457;0.4968;0.0256;-0.0357;"Test";10
"NBWaVE";114.191;0.0413;0.4962;0.0173;0.4918;"Test";10
"CMF";198.504;0.0415;0.4963;0.0194;0.031;"Test";10
"NMF";NA;NA;NA;NA;NA;"Test";10
