"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";11.692;0.0196;0.0024;0.0114;0.188;"Full";1
"NBWaVE";14.592;0.0164;0.002;0.0081;0.5147;"Full";1
"CMF";9.827;0.0184;0.0022;0.0088;0.0797;"Full";1
"NMF";1.784;0.02;0.0024;0.0117;-0.0483;"Full";1
"NNLM";3.574;0.0172;0.0021;0.0069;0.0266;"Full";1
"AIRWLS";3.563;0.0164;0.002;0.0055;0.4895;"Full";1
"Newton";1.825;0.0163;0.002;0.006;0.4479;"Full";1
"C-SGD";3.347;0.0163;0.002;0.0058;0.4248;"Full";1
"B-SGD";1.926;0.0171;0.0021;0.0063;0.2255;"Full";1
"glmPCA";11.692;0.0194;0.1422;0.0086;0.188;"Train";1
"NBWaVE";14.592;0.0157;0.1419;0.0076;0.5147;"Train";1
"CMF";9.827;0.0182;0.142;0.0055;0.0797;"Train";1
"NMF";1.784;0.0198;0.1423;0.0083;-0.0483;"Train";1
"NNLM";3.574;0.017;0.1418;0.0056;0.0266;"Train";1
"AIRWLS";3.563;0.0161;0.1418;0.0039;0.4895;"Train";1
"Newton";1.825;0.016;0.1418;0.0039;0.4479;"Train";1
"C-SGD";3.347;0.0156;0.1418;0.0048;0.4248;"Train";1
"B-SGD";1.926;0.0154;0.1418;0.0053;0.2255;"Train";1
"glmPCA";11.692;0.02;0.4906;0.0194;0.188;"Test";1
"NBWaVE";14.592;0.0184;0.4903;0.0098;0.5147;"Test";1
"CMF";9.827;0.0191;0.4906;0.0183;0.0797;"Test";1
"NMF";1.784;0.0206;0.4906;0.0213;-0.0483;"Test";1
"NNLM";3.574;0.0177;0.4908;0.0107;0.0266;"Test";1
"AIRWLS";3.563;0.0171;0.4906;0.0102;0.4895;"Test";1
"Newton";1.825;0.0172;0.4905;0.012;0.4479;"Test";1
"C-SGD";3.347;0.0183;0.4905;0.0086;0.4248;"Test";1
"B-SGD";1.926;0.0218;0.4907;0.0092;0.2255;"Test";1
"glmPCA";12.315;0.0223;0.0024;0.0142;-0.0538;"Full";2
"NBWaVE";11.528;0.0155;0.0016;0.0084;0.5016;"Full";2
"CMF";9.108;0.0199;0.0021;0.014;-0.038;"Full";2
"NMF";1.733;0.0207;0.0022;0.0109;-0.0142;"Full";2
"NNLM";3.571;0.0171;0.0018;0.007;0.1225;"Full";2
"AIRWLS";3.57;0.0154;0.0016;0.0055;0.5893;"Full";2
"Newton";1.823;0.0153;0.0016;0.0054;0.5336;"Full";2
"C-SGD";3.36;0.015;0.0016;0.0061;0.4835;"Full";2
"B-SGD";1.932;0.0156;0.0017;0.0067;0.2766;"Full";2
"glmPCA";12.315;0.0221;0.1409;0.0136;-0.0538;"Train";2
"NBWaVE";11.528;0.0145;0.1403;0.0079;0.5016;"Train";2
"CMF";9.108;0.0194;0.1408;0.0061;-0.038;"Train";2
"NMF";1.733;0.0204;0.1408;0.0082;-0.0142;"Train";2
"NNLM";3.571;0.0168;0.1403;0.0055;0.1225;"Train";2
"AIRWLS";3.57;0.015;0.1402;0.0036;0.5893;"Train";2
"Newton";1.823;0.0149;0.1402;0.0035;0.5336;"Train";2
"C-SGD";3.36;0.0141;0.1402;0.0051;0.4835;"Train";2
"B-SGD";1.932;0.014;0.1402;0.0055;0.2766;"Train";2
"glmPCA";12.315;0.0227;0.4929;0.0161;-0.0538;"Test";2
"NBWaVE";11.528;0.0181;0.4924;0.0097;0.5016;"Test";2
"CMF";9.108;0.0213;0.4925;0.0363;-0.038;"Test";2
"NMF";1.733;0.0215;0.4927;0.0187;-0.0142;"Test";2
"NNLM";3.571;0.018;0.4928;0.0113;0.1225;"Test";2
"AIRWLS";3.57;0.0164;0.4926;0.0108;0.5893;"Test";2
"Newton";1.823;0.0163;0.4926;0.0109;0.5336;"Test";2
"C-SGD";3.36;0.0175;0.4926;0.0089;0.4835;"Test";2
"B-SGD";1.932;0.0201;0.4926;0.01;0.2766;"Test";2
"glmPCA";5.153;0.0217;0.0022;0.013;-0.0523;"Full";3
"NBWaVE";12.317;0.0153;0.0015;0.0079;0.3524;"Full";3
"CMF";9.698;0.018;0.0018;0.0086;0.0393;"Full";3
"NMF";4.806;0.0191;0.0019;0.0092;-0.0652;"Full";3
"NNLM";3.588;0.0168;0.0017;0.0075;0.0397;"Full";3
"AIRWLS";3.552;0.0152;0.0015;0.0053;0.4229;"Full";3
"Newton";1.821;0.0152;0.0015;0.0069;0.3718;"Full";3
