"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";52.763;0.0368;0.0086;0.0189;-0.0294;"Full";1
"NBWaVE";153.467;0.0314;0.0074;0.0117;0.5463;"Full";1
"CMF";274.965;0.0329;0.0078;0.0136;0.0451;"Full";1
"NMF";369.457;0.0335;0.0079;0.0125;0.0247;"Full";1
"NNLM";142.523;0.0315;0.0074;0.0098;0.0846;"Full";1
"AIRWLS";168.979;0.0312;0.0074;0.0098;0.5515;"Full";1
"Newton";89.107;0.0312;0.0074;0.0103;0.5212;"Full";1
"C-SGD";51.591;0.0307;0.0073;0.0099;0.5211;"Full";1
"B-SGD";27.631;0.0306;0.0072;0.01;0.5239;"Full";1
"glmPCA";52.763;0.0368;0.1469;0.0186;-0.0294;"Train";1
"NBWaVE";153.467;0.0308;0.1457;0.0115;0.5463;"Train";1
"CMF";274.965;0.0327;0.1462;0.0092;0.0451;"Train";1
"NMF";369.457;0.0334;0.1463;0.0102;0.0247;"Train";1
"NNLM";142.523;0.0313;0.1458;0.0088;0.0846;"Train";1
"AIRWLS";168.979;0.031;0.1458;0.0083;0.5515;"Train";1
"Newton";89.107;0.031;0.1458;0.0083;0.5212;"Train";1
"C-SGD";51.591;0.0302;0.1456;0.0093;0.5211;"Train";1
"B-SGD";27.631;0.0296;0.1455;0.0096;0.5239;"Train";1
"glmPCA";52.763;0.0369;0.495;0.0199;-0.0294;"Test";1
"NBWaVE";153.467;0.0334;0.4945;0.0124;0.5463;"Test";1
"CMF";274.965;0.0335;0.4944;0.0263;0.0451;"Test";1
"NMF";369.457;0.0339;0.4945;0.0191;0.0247;"Test";1
"NNLM";142.523;0.0319;0.4945;0.0126;0.0846;"Test";1
"AIRWLS";168.979;0.0318;0.4944;0.0142;0.5515;"Test";1
"Newton";89.107;0.0318;0.4944;0.016;0.5212;"Test";1
"C-SGD";51.591;0.0321;0.4945;0.0116;0.5211;"Test";1
"B-SGD";27.631;0.0333;0.4945;0.0114;0.5239;"Test";1
"glmPCA";514.606;0.037;0.008;0.023;-0.0312;"Full";2
"NBWaVE";165.122;0.0316;0.0068;0.0142;0.5623;"Full";2
"CMF";266.782;0.0324;0.007;0.0137;0.2779;"Full";2
"NMF";367.996;0.0334;0.0072;0.0153;0.0556;"Full";2
"NNLM";144.959;0.0315;0.0069;0.012;0.0439;"Full";2
"AIRWLS";168.739;0.0313;0.0068;0.0121;0.5932;"Full";2
"Newton";91.479;0.0313;0.0068;0.0124;0.5889;"Full";2
"C-SGD";51.766;0.0308;0.0067;0.0122;0.5791;"Full";2
"B-SGD";27.235;0.0306;0.0067;0.0124;0.5692;"Full";2
"glmPCA";514.606;0.037;0.1462;0.0228;-0.0312;"Train";2
"NBWaVE";165.122;0.031;0.1451;0.0139;0.5623;"Train";2
"CMF";266.782;0.0323;0.1453;0.0116;0.2779;"Train";2
"NMF";367.996;0.0333;0.1456;0.0134;0.0556;"Train";2
"NNLM";144.959;0.0314;0.1452;0.0113;0.0439;"Train";2
"AIRWLS";168.739;0.0312;0.1451;0.0105;0.5932;"Train";2
"Newton";91.479;0.0311;0.1451;0.0105;0.5889;"Train";2
"C-SGD";51.766;0.0304;0.145;0.0117;0.5791;"Train";2
"B-SGD";27.235;0.0298;0.1449;0.012;0.5692;"Train";2
"glmPCA";514.606;0.0371;0.4949;0.0234;-0.0312;"Test";2
"NBWaVE";165.122;0.0335;0.4945;0.0151;0.5623;"Test";2
"CMF";266.782;0.0327;0.4945;0.0198;0.2779;"Test";2
"NMF";367.996;0.0338;0.4944;0.0205;0.0556;"Test";2
"NNLM";144.959;0.0319;0.4944;0.0139;0.0439;"Test";2
"AIRWLS";168.739;0.0317;0.4944;0.0165;0.5932;"Test";2
"Newton";91.479;0.0317;0.4944;0.0176;0.5889;"Test";2
"C-SGD";51.766;0.0322;0.4944;0.0137;0.5791;"Test";2
"B-SGD";27.235;0.033;0.4945;0.0136;0.5692;"Test";2
"glmPCA";52.593;0.0386;0.0073;0.0234;-0.0154;"Full";3
"NBWaVE";203.436;0.0327;0.0062;0.0143;0.5127;"Full";3
"CMF";264.445;0.0339;0.0065;0.0155;0.2045;"Full";3
"NMF";370.154;0.0347;0.0066;0.0154;0.1582;"Full";3
"NNLM";141.071;0.0326;0.0063;0.0122;0.1017;"Full";3
"AIRWLS";172.997;0.0324;0.0062;0.0125;0.5232;"Full";3
"Newton";87.849;0.0324;0.0062;0.0127;0.5039;"Full";3
"C-SGD";51.336;0.032;0.0061;0.0125;0.4992;"Full";3
"B-SGD";27.035;0.0316;0.0061;0.0127;0.422;"Full";3
"glmPCA";52.593;0.0386;0.1457;0.0233;-0.0154;"Train";3
"NBWaVE";203.436;0.032;0.1447;0.0141;0.5127;"Train";3
"CMF";264.445;0.0337;0.145;0.0121;0.2045;"Train";3
"NMF";370.154;0.0345;0.1452;0.0136;0.1582;"Train";3
"NNLM";141.071;0.0325;0.1448;0.0115;0.1017;"Train";3
"AIRWLS";172.997;0.0322;0.1447;0.0107;0.5232;"Train";3
"Newton";87.849;0.0322;0.1447;0.0107;0.5039;"Train";3
"C-SGD";51.336;0.0315;0.1446;0.012;0.4992;"Train";3
"B-SGD";27.035;0.0306;0.1445;0.0124;0.422;"Train";3
"glmPCA";52.593;0.0388;0.4945;0.0236;-0.0154;"Test";3
"NBWaVE";203.436;0.0347;0.494;0.015;0.5127;"Test";3
"CMF";264.445;0.0345;0.4941;0.0251;0.2045;"Test";3
"NMF";370.154;0.0352;0.494;0.0208;0.1582;"Test";3
"NNLM";141.071;0.0331;0.4939;0.0143;0.1017;"Test";3
"AIRWLS";172.997;0.0329;0.4939;0.0174;0.5232;"Test";3
"Newton";87.849;0.033;0.4939;0.0182;0.5039;"Test";3
