"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";73.934;0.029;0.0046;0.0174;-0.0545;"Full";1
"NBWaVE";20.093;0.0236;0.0038;0.0096;0.4087;"Full";1
"CMF";34.313;0.0254;0.0041;0.0107;0.0565;"Full";1
"NMF";26.499;0.0261;0.0042;0.011;0.0586;"Full";1
"NNLM";16.495;0.0243;0.0039;0.0082;0.058;"Full";1
"AIRWLS";20.915;0.0233;0.0037;0.0073;0.4376;"Full";1
"Newton";11.153;0.0233;0.0037;0.0073;0.4312;"Full";1
"C-SGD";10.042;0.0231;0.0037;0.0078;0.3907;"Full";1
"B-SGD";5.745;0.0232;0.0037;0.0082;0.2291;"Full";1
"glmPCA";73.934;0.0289;0.1434;0.0171;-0.0545;"Train";1
"NBWaVE";20.093;0.0231;0.1427;0.0093;0.4087;"Train";1
"CMF";34.313;0.0252;0.1429;0.0078;0.0565;"Train";1
"NMF";26.499;0.0259;0.1431;0.0091;0.0586;"Train";1
"NNLM";16.495;0.0241;0.1428;0.0074;0.058;"Train";1
"AIRWLS";20.915;0.0231;0.1426;0.0062;0.4376;"Train";1
"Newton";11.153;0.0231;0.1427;0.0062;0.4312;"Train";1
"C-SGD";10.042;0.0226;0.1426;0.0073;0.3907;"Train";1
"B-SGD";5.745;0.0222;0.1426;0.0077;0.2291;"Train";1
"glmPCA";73.934;0.0293;0.4931;0.0181;-0.0545;"Test";1
"NBWaVE";20.093;0.0252;0.4926;0.0103;0.4087;"Test";1
"CMF";34.313;0.0259;0.4928;0.0187;0.0565;"Test";1
"NMF";26.499;0.0266;0.4927;0.0163;0.0586;"Test";1
"NNLM";16.495;0.0247;0.4927;0.0107;0.058;"Test";1
"AIRWLS";20.915;0.0238;0.4926;0.0104;0.4376;"Test";1
"Newton";11.153;0.0238;0.4926;0.0104;0.4312;"Test";1
"C-SGD";10.042;0.0244;0.4926;0.0093;0.3907;"Test";1
"B-SGD";5.745;0.026;0.4927;0.0097;0.2291;"Test";1
"glmPCA";67.277;0.0276;0.0054;0.0167;-0.0331;"Full";2
"NBWaVE";20.377;0.0228;0.0045;0.0092;0.5051;"Full";2
"CMF";33.003;0.0246;0.0049;Inf;0.1251;"Full";2
"NMF";26.476;0.0253;0.005;0.0116;0.0909;"Full";2
"NNLM";17.297;0.0232;0.0046;0.0082;-0.0044;"Full";2
"AIRWLS";20.869;0.0224;0.0044;0.0072;0.3702;"Full";2
"Newton";10.968;0.0224;0.0044;0.0071;0.3575;"Full";2
"C-SGD";10.089;0.0221;0.0044;0.0075;0.3754;"Full";2
"B-SGD";5.829;0.0221;0.0044;0.0081;0.2624;"Full";2
"glmPCA";67.277;0.0276;0.144;0.0163;-0.0331;"Train";2
"NBWaVE";20.377;0.0223;0.1432;0.0089;0.5051;"Train";2
"CMF";33.003;0.0244;0.1434;0.0083;0.1251;"Train";2
"NMF";26.476;0.0252;0.1437;0.0099;0.0909;"Train";2
"NNLM";17.297;0.0231;0.1432;0.0075;-0.0044;"Train";2
"AIRWLS";20.869;0.0223;0.1431;0.0061;0.3702;"Train";2
"Newton";10.968;0.0223;0.1431;0.0061;0.3575;"Train";2
"C-SGD";10.089;0.0216;0.143;0.007;0.3754;"Train";2
"B-SGD";5.829;0.0213;0.143;0.0076;0.2624;"Train";2
"glmPCA";67.277;0.0277;0.4936;0.0179;-0.0331;"Test";2
"NBWaVE";20.377;0.0239;0.4931;0.0101;0.5051;"Test";2
"CMF";33.003;0.0252;0.4935;Inf;0.1251;"Test";2
"NMF";26.476;0.0256;0.4932;0.0165;0.0909;"Test";2
"NNLM";17.297;0.0234;0.4933;0.0104;-0.0044;"Test";2
"AIRWLS";20.869;0.0227;0.4932;0.0104;0.3702;"Test";2
"Newton";10.968;0.0228;0.4932;0.0098;0.3575;"Test";2
"C-SGD";10.089;0.0233;0.4932;0.0089;0.3754;"Test";2
"B-SGD";5.829;0.0243;0.4932;0.0094;0.2624;"Test";2
"glmPCA";65.083;0.0261;0.0054;0.0168;-0.0321;"Full";3
"NBWaVE";20.15;0.0221;0.0046;0.0102;0.4239;"Full";3
"CMF";32.342;0.0231;0.0048;0.01;0.1969;"Full";3
"NMF";26.465;0.0239;0.0049;0.0114;0.1075;"Full";3
"NNLM";17.244;0.0224;0.0047;0.0086;0.0134;"Full";3
"AIRWLS";20.942;0.0219;0.0046;0.0083;0.3878;"Full";3
"Newton";11.047;0.0219;0.0046;0.0083;0.3994;"Full";3
"C-SGD";10.015;0.0215;0.0045;0.0085;0.2989;"Full";3
