"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";449.369;0.0363;0.0091;0.0196;-0.0397;"Full";1
"NBWaVE";56.355;0.032;0.0081;0.0125;0.3725;"Full";1
"CMF";107.093;0.0325;0.0082;0.012;0.0573;"Full";1
"NMF";116.386;0.034;0.0086;0.0145;0.0112;"Full";1
"NNLM";66.999;0.0319;0.0081;0.0111;0.0123;"Full";1
"AIRWLS";81.559;0.0313;0.0079;0.0106;0.3577;"Full";1
"Newton";47.128;0.0313;0.0079;0.0106;0.3393;"Full";1
"C-SGD";25.527;0.0309;0.0078;0.0109;0.3736;"Full";1
"B-SGD";14.957;0.0307;0.0078;0.011;0.3316;"Full";1
"glmPCA";449.369;0.0363;0.1472;0.0193;-0.0397;"Train";1
"NBWaVE";56.355;0.0317;0.1463;0.0123;0.3725;"Train";1
"CMF";107.093;0.0324;0.1464;0.0111;0.0573;"Train";1
"NMF";116.386;0.034;0.1468;0.0132;0.0112;"Train";1
"NNLM";66.999;0.0318;0.1462;0.0107;0.0123;"Train";1
"AIRWLS";81.559;0.0312;0.1461;0.0099;0.3577;"Train";1
"Newton";47.128;0.0312;0.1461;0.0099;0.3393;"Train";1
"C-SGD";25.527;0.0307;0.146;0.0106;0.3736;"Train";1
"B-SGD";14.957;0.0303;0.146;0.0107;0.3316;"Train";1
"glmPCA";449.369;0.0363;0.4955;0.0203;-0.0397;"Test";1
"NBWaVE";56.355;0.0327;0.495;0.013;0.3725;"Test";1
"CMF";107.093;0.0326;0.4951;0.0146;0.0573;"Test";1
"NMF";116.386;0.0342;0.4951;0.0181;0.0112;"Test";1
"NNLM";66.999;0.032;0.495;0.0124;0.0123;"Test";1
"AIRWLS";81.559;0.0315;0.4949;0.0129;0.3577;"Test";1
"Newton";47.128;0.0315;0.4949;0.0129;0.3393;"Test";1
"C-SGD";25.527;0.0315;0.4949;0.0117;0.3736;"Test";1
"B-SGD";14.957;0.0316;0.4949;0.0117;0.3316;"Test";1
"glmPCA";286.643;0.0386;0.0084;0.0193;-0.0098;"Full";2
