"Model";"Time";"RSS";"Cos";"Dev";"Sil";"Set";"Iter"
"glmPCA";766.027;0.043;0.0112;0.023;-0.0202;"Full";1
"NBWaVE";117.265;0.0388;0.0101;0.0159;0.4429;"Full";1
"CMF";205.42;0.0392;0.0103;0.0163;0.0042;"Full";1
"NMF";275.813;0.0403;0.0105;0.0175;0.0195;"Full";1
"NNLM";153.162;0.0384;0.0101;0.0152;0.0342;"Full";1
"AIRWLS";113.88;0.0377;0.0099;0.0141;0.475;"Full";1
"Newton";79.597;0.0377;0.0099;0.0141;0.4804;"Full";1
"C-SGD";44.727;0.0375;0.0098;0.0146;0.4419;"Full";1
"B-SGD";27.231;0.0372;0.0098;0.0148;0.3631;"Full";1
"glmPCA";766.027;0.043;0.1491;0.0229;-0.0202;"Train";1
"NBWaVE";117.265;0.0386;0.1482;0.0158;0.4429;"Train";1
"CMF";205.42;0.0392;0.1483;0.0154;0.0042;"Train";1
"NMF";275.813;0.0403;0.1486;0.0169;0.0195;"Train";1
"NNLM";153.162;0.0384;0.1482;0.0148;0.0342;"Train";1
"AIRWLS";113.88;0.0377;0.148;0.0137;0.475;"Train";1
"Newton";79.597;0.0376;0.148;0.0137;0.4804;"Train";1
"C-SGD";44.727;0.0374;0.1479;0.0144;0.4419;"Train";1
"B-SGD";27.231;0.037;0.1479;0.0146;0.3631;"Train";1
"glmPCA";766.027;0.0429;0.4962;0.0233;-0.0202;"Test";1
"NBWaVE";117.265;0.0392;0.4957;0.0163;0.4429;"Test";1
"CMF";205.42;0.0392;0.4958;0.0187;0.0042;"Test";1
"NMF";275.813;0.0404;0.4958;0.0192;0.0195;"Test";1
"NNLM";153.162;0.0385;0.4957;0.0163;0.0342;"Test";1
"AIRWLS";113.88;0.0378;0.4956;0.0154;0.475;"Test";1
"Newton";79.597;0.0377;0.4956;0.0155;0.4804;"Test";1
"C-SGD";44.727;0.0379;0.4956;0.0151;0.4419;"Test";1
"B-SGD";27.231;0.0379;0.4956;0.0153;0.3631;"Test";1
"glmPCA";657.903;0.0433;0.011;0.0244;-0.0277;"Full";2
"NBWaVE";115.379;0.0388;0.0099;0.0172;0.5069;"Full";2
"CMF";204.615;0.0394;0.0101;0.0179;0.006;"Full";2
"NMF";276.279;0.0404;0.0103;0.019;0.0459;"Full";2
"NNLM";152.681;0.0385;0.0098;0.0167;-0.0186;"Full";2
"AIRWLS";124.757;0.0377;0.0096;0.0154;0.4432;"Full";2
"Newton";96.01;0.0377;0.0096;0.0154;0.4984;"Full";2
"C-SGD";43.696;0.0376;0.0096;0.0159;0.4522;"Full";2
"B-SGD";28.295;0.0372;0.0095;0.0161;0.3382;"Full";2
"glmPCA";657.903;0.0432;0.1486;0.0242;-0.0277;"Train";2
"NBWaVE";115.379;0.0385;0.1476;0.0171;0.5069;"Train";2
"CMF";204.615;0.0394;0.1478;0.017;0.006;"Train";2
"NMF";276.279;0.0403;0.148;0.0185;0.0459;"Train";2
"NNLM";152.681;0.0384;0.1476;0.0163;-0.0186;"Train";2
"AIRWLS";124.757;0.0376;0.1475;0.0149;0.4432;"Train";2
"Newton";96.01;0.0376;0.1475;0.0149;0.4984;"Train";2
"C-SGD";43.696;0.0374;0.1474;0.0157;0.4522;"Train";2
"B-SGD";28.295;0.0369;0.1473;0.0158;0.3382;"Train";2
"glmPCA";657.903;0.0435;0.4967;0.0248;-0.0277;"Test";2
"NBWaVE";115.379;0.0394;0.4961;0.0177;0.5069;"Test";2
"CMF";204.615;0.0397;0.4963;0.0205;0.006;"Test";2
"NMF";276.279;0.0407;0.4963;0.0204;0.0459;"Test";2
"NNLM";152.681;0.0388;0.4961;0.0179;-0.0186;"Test";2
"AIRWLS";124.757;0.038;0.496;0.0166;0.4432;"Test";2
"Newton";96.01;0.038;0.496;0.0166;0.4984;"Test";2
"C-SGD";43.696;0.0381;0.496;0.0166;0.4522;"Test";2
"B-SGD";28.295;0.038;0.496;0.0167;0.3382;"Test";2
"glmPCA";633.846;0.0458;0.0116;0.0259;-0.0244;"Full";3
"NBWaVE";114.484;0.0411;0.0104;0.0169;0.4761;"Full";3
"CMF";196.988;0.0415;0.0105;0.0169;0.0814;"Full";3
"NMF";275.758;0.0428;0.0108;0.0188;0.0307;"Full";3
"NNLM";130.251;0.041;0.0104;0.0162;-0.0124;"Full";3
"AIRWLS";109.806;0.04;0.0102;0.0148;0.4645;"Full";3
"Newton";99.846;0.04;0.0102;0.0148;0.4982;"Full";3
"C-SGD";44.81;0.0398;0.0101;0.0155;0.508;"Full";3
"B-SGD";27.433;0.0395;0.0101;0.0155;0.4774;"Full";3
"glmPCA";633.846;0.0457;0.1492;0.0257;-0.0244;"Train";3
"NBWaVE";114.484;0.0409;0.1482;0.0167;0.4761;"Train";3
"CMF";196.988;0.0415;0.1484;0.0162;0.0814;"Train";3
"NMF";275.758;0.0427;0.1486;0.0181;0.0307;"Train";3
"NNLM";130.251;0.041;0.1482;0.0158;-0.0124;"Train";3
"AIRWLS";109.806;0.0399;0.148;0.0142;0.4645;"Train";3
"Newton";99.846;0.0399;0.148;0.0142;0.4982;"Train";3
"C-SGD";44.81;0.0396;0.148;0.0152;0.508;"Train";3
"B-SGD";27.433;0.0392;0.1479;0.0152;0.4774;"Train";3
"glmPCA";633.846;0.0459;0.4968;0.0263;-0.0244;"Test";3
"NBWaVE";114.484;0.0416;0.4962;0.0174;0.4761;"Test";3
"CMF";196.988;0.0417;0.4963;0.0189;0.0814;"Test";3
"NMF";275.758;0.043;0.4963;0.0208;0.0307;"Test";3
"NNLM";130.251;0.0412;0.4962;0.0174;-0.0124;"Test";3
"AIRWLS";109.806;0.0403;0.4961;0.0164;0.4645;"Test";3
"Newton";99.846;0.0403;0.4961;0.0166;0.4982;"Test";3
"C-SGD";44.81;0.0404;0.4961;0.0163;0.508;"Test";3
"B-SGD";27.433;0.0403;0.4961;0.0162;0.4774;"Test";3
